angry;disgust;scared;happy;sad;surprised;neutral
5.89;0.01;2.57;0.4;2.73;1.02;87.39
4.54;0.01;4.59;0.42;5.0;1.64;83.81
2.86;0.01;2.14;0.29;2.07;0.78;91.85
2.81;0.0;2.01;0.46;1.66;1.04;92.01
4.31;0.0;3.32;0.45;2.21;0.63;89.07
3.98;0.0;4.15;0.48;2.69;1.28;87.41
2.16;0.0;3.81;0.31;3.02;0.52;90.18
5.03;0.0;4.23;0.55;3.4;1.03;85.76
2.84;0.01;7.29;0.65;2.39;2.03;84.8
3.88;0.01;8.24;1.1;3.22;3.58;79.97
4.11;0.09;12.24;3.94;3.14;13.63;62.84
8.25;0.24;16.47;2.0;8.01;2.22;62.81
7.84;0.35;17.83;5.72;12.93;2.22;53.1
6.07;0.67;11.54;22.19;8.41;1.18;49.94
6.6;0.34;5.64;14.71;9.38;0.42;62.91
8.2;0.55;7.37;23.26;10.11;0.54;49.97
10.38;0.31;9.66;7.75;17.38;0.69;53.83
5.41;0.24;6.52;17.61;12.04;1.15;57.02
4.08;0.2;6.09;29.72;10.54;3.09;46.28
1.51;0.1;2.47;37.25;5.96;1.63;51.08
3.72;0.11;2.9;12.29;11.81;1.16;68.0
3.61;0.18;10.32;7.3;12.23;1.18;65.17
2.23;0.12;4.5;11.78;9.06;1.07;71.24
2.6;0.13;6.13;24.69;17.2;1.11;48.15
9.57;0.14;7.04;44.25;26.27;1.48;11.25
4.13;0.09;7.39;49.38;16.96;2.04;20.01
4.88;0.09;6.0;15.93;23.18;1.09;48.83
3.93;0.05;3.54;31.22;14.13;1.21;45.91
5.24;0.06;12.97;17.8;15.54;2.29;46.1
3.93;0.04;8.29;10.62;8.01;1.43;67.69
6.0;0.1;9.32;6.27;12.02;3.47;62.82
7.99;0.54;1.77;4.92;13.52;0.69;70.56
1.85;0.11;0.99;4.41;8.32;0.27;84.07
1.4;0.03;0.51;3.94;1.86;0.24;92.02
4.13;0.14;3.46;4.64;8.5;1.51;77.61
2.79;0.08;3.51;2.23;7.81;0.61;82.97
1.55;0.1;2.26;2.76;8.65;0.87;83.8
4.79;0.11;5.89;4.35;13.75;2.23;68.89
4.82;0.26;9.4;2.06;21.61;4.24;57.6
6.83;0.12;10.53;2.27;21.53;2.62;56.09
8.26;0.12;12.66;1.9;24.91;2.18;49.97
6.01;0.06;11.92;4.43;17.51;2.0;58.07
4.14;0.05;4.61;6.52;8.31;3.58;72.78
2.53;0.03;6.72;27.43;4.44;12.82;46.04
1.14;0.05;2.68;24.92;8.85;1.24;61.12
2.88;0.22;4.5;37.32;21.94;1.05;32.09
1.71;0.1;3.1;56.9;17.15;0.82;20.22
0.82;0.05;0.96;64.6;8.77;0.3;24.5
1.25;0.15;2.12;62.72;11.26;0.93;21.58
3.15;0.1;3.89;39.63;15.67;0.54;37.02
3.55;0.09;5.28;17.26;18.82;0.81;54.19
