Emotions;Percent
scared;31.39
happy;0.13
sad;4.37
surprised;2.94
neutral;58.54
angry;2.06
disgust;0.03
scared;27.93
happy;0.08
sad;5.81
surprised;2.40
neutral;61.68
angry;1.67
disgust;0.04
scared;18.05
happy;0.08
sad;6.31
surprised;1.00
neutral;72.84
angry;1.82
disgust;0.04
scared;15.18
happy;0.07
sad;6.31
surprised;0.66
neutral;75.92
angry;1.15
disgust;0.03
scared;13.15
happy;0.05
sad;4.72
surprised;0.74
neutral;80.16
angry;1.63
disgust;0.02
scared;14.35
happy;0.06
sad;6.57
surprised;0.45
neutral;76.92
angry;2.21
disgust;0.06
scared;14.37
happy;0.06
sad;8.50
surprised;0.80
neutral;73.99
angry;2.27
disgust;0.04
scared;20.50
happy;0.04
sad;9.13
surprised;1.68
neutral;66.33
angry;3.57
disgust;0.08
scared;24.29
happy;0.06
sad;9.80
surprised;1.08
neutral;61.10
angry;1.92
disgust;0.02
scared;14.33
happy;0.08
sad;4.84
surprised;1.19
neutral;77.62
angry;1.78
disgust;0.03
scared;17.98
happy;0.05
sad;4.97
surprised;1.73
neutral;73.46
angry;1.82
disgust;0.02
scared;8.18
happy;0.04
sad;6.16
surprised;0.42
neutral;83.35
angry;1.81
disgust;0.06
scared;5.43
happy;0.03
sad;4.16
surprised;0.08
neutral;88.44
angry;2.15
disgust;0.03
scared;11.85
happy;0.04
sad;5.08
surprised;0.24
neutral;80.62
angry;1.79
disgust;0.02
scared;27.70
happy;0.04
sad;5.42
surprised;0.82
neutral;64.22
angry;1.57
disgust;0.02
scared;38.00
happy;0.07
sad;4.98
surprised;1.37
neutral;53.99
angry;1.61
disgust;0.03
scared;38.24
happy;0.07
sad;4.38
surprised;1.34
neutral;54.33
angry;1.20
disgust;0.02
scared;28.00
happy;0.03
sad;6.40
surprised;3.81
neutral;60.55
angry;1.09
disgust;0.03
scared;33.37
happy;0.02
sad;6.13
surprised;4.85
neutral;54.50
angry;1.06
disgust;0.03
scared;26.11
happy;0.05
sad;5.21
surprised;4.77
neutral;62.78
angry;1.64
disgust;0.07
scared;25.72
happy;0.04
sad;4.64
surprised;3.04
neutral;64.85
angry;2.09
disgust;0.05
scared;43.81
happy;0.04
sad;5.61
surprised;4.02
neutral;44.38
angry;2.66
disgust;0.11
scared;40.19
happy;0.02
sad;6.42
surprised;3.40
neutral;47.20
angry;1.85
disgust;0.05
scared;40.30
happy;0.03
sad;4.72
surprised;4.17
neutral;48.87
angry;2.22
disgust;0.03
scared;23.48
happy;0.03
sad;4.59
surprised;2.89
neutral;66.75
angry;1.91
disgust;0.04
scared;31.82
happy;0.04
sad;4.54
surprised;4.34
neutral;57.32
angry;1.63
disgust;0.04
scared;22.36
happy;0.04
sad;4.19
surprised;1.68
neutral;70.05
angry;3.59
disgust;0.04
scared;32.41
happy;0.06
sad;6.80
surprised;5.33
neutral;51.77
angry;1.47
disgust;0.03
scared;36.60
happy;0.03
sad;3.60
surprised;5.08
neutral;53.19
angry;2.28
disgust;0.03
scared;33.14
happy;0.04
sad;7.02
surprised;3.88
neutral;53.62
angry;1.80
disgust;0.02
scared;33.84
happy;0.03
sad;4.68
surprised;3.45
neutral;56.19
angry;2.48
disgust;0.01
scared;28.75
happy;0.03
sad;7.43
surprised;2.69
neutral;58.60
angry;1.69
disgust;0.05
scared;31.77
happy;0.02
sad;4.50
surprised;4.91
neutral;57.05
angry;1.07
disgust;0.05
scared;36.47
happy;0.03
sad;4.56
surprised;5.09
neutral;52.73
angry;1.41
disgust;0.02
scared;25.56
happy;0.04
sad;3.57
surprised;4.39
neutral;65.01
angry;1.70
disgust;0.02
scared;25.08
happy;0.06
sad;3.99
surprised;6.33
neutral;62.82
angry;1.23
disgust;0.02
scared;18.29
happy;0.06
sad;2.44
surprised;3.09
neutral;74.88
angry;1.13
disgust;0.02
scared;20.27
happy;0.06
sad;2.55
surprised;2.39
neutral;73.59
angry;1.87
disgust;0.04
scared;15.66
happy;0.06
sad;2.82
surprised;2.26
neutral;77.29
angry;1.63
disgust;0.03
scared;28.72
happy;0.04
sad;4.47
surprised;2.28
neutral;62.84
angry;3.02
disgust;0.07
scared;27.03
happy;0.07
sad;4.05
surprised;3.18
neutral;62.60
angry;2.75
disgust;0.08
scared;32.87
happy;0.07
sad;3.95
surprised;2.05
neutral;58.22
angry;3.46
disgust;0.04
scared;39.45
happy;0.05
sad;6.63
surprised;3.04
neutral;47.33
angry;3.35
disgust;0.02
scared;30.46
happy;0.05
sad;6.89
surprised;2.55
neutral;56.68
angry;6.00
disgust;0.09
scared;38.94
happy;0.05
sad;5.34
surprised;1.85
neutral;47.73
angry;5.22
disgust;0.05
scared;31.15
happy;0.06
sad;4.50
surprised;1.88
neutral;57.13
angry;2.60
disgust;0.03
scared;25.17
happy;0.05
sad;5.70
surprised;1.05
neutral;65.40
angry;5.78
disgust;0.15
scared;24.82
happy;0.05
sad;5.16
surprised;2.91
neutral;61.13
angry;7.61
disgust;0.10
scared;30.30
happy;0.04
sad;5.30
surprised;5.88
neutral;50.77
angry;4.37
disgust;0.08
scared;36.10
happy;0.08
