Emotions;Percent
scared;0.35
happy;96.49
sad;0.35
surprised;0.19
neutral;1.08
angry;1.75
disgust;0.10
scared;0.37
happy;95.95
sad;0.27
surprised;0.30
neutral;1.27
angry;10.52
disgust;0.94
scared;19.58
happy;27.38
sad;10.72
surprised;7.96
neutral;22.90
angry;11.10
disgust;0.59
scared;17.53
happy;23.95
sad;12.53
surprised;13.92
neutral;20.37
angry;6.74
disgust;0.67
scared;12.61
happy;35.50
sad;10.77
surprised;11.70
neutral;22.01
angry;3.54
disgust;0.07
scared;0.50
happy;91.11
sad;0.64
surprised;0.41
neutral;3.73
angry;18.71
disgust;0.52
scared;12.79
happy;20.47
sad;19.84
surprised;7.09
neutral;20.57
angry;8.58
disgust;0.12
scared;9.79
happy;25.55
sad;18.63
surprised;10.57
neutral;26.75
angry;6.66
disgust;0.08
scared;10.95
happy;28.54
sad;20.41
surprised;6.22
neutral;27.14
angry;11.03
disgust;0.08
scared;13.63
happy;24.12
sad;19.76
surprised;11.19
neutral;20.20
angry;9.22
disgust;0.27
scared;18.63
happy;18.55
sad;17.81
surprised;11.39
neutral;24.14
angry;7.92
disgust;0.40
scared;15.37
happy;25.79
sad;22.44
surprised;7.33
neutral;20.75
angry;14.16
disgust;0.33
scared;13.66
happy;26.51
sad;19.91
surprised;7.07
neutral;18.36
angry;8.83
disgust;0.31
scared;18.23
happy;18.95
sad;24.31
surprised;6.61
neutral;22.77
angry;9.38
disgust;0.49
scared;14.43
happy;23.46
sad;21.49
surprised;7.04
neutral;23.71
angry;2.99
disgust;0.90
scared;7.17
happy;34.66
sad;8.38
surprised;3.68
neutral;42.22
angry;3.46
disgust;0.96
scared;14.19
happy;33.67
sad;8.52
surprised;5.12
neutral;34.09
angry;14.70
disgust;0.45
scared;17.76
happy;22.85
sad;18.01
surprised;7.95
neutral;18.29
angry;9.51
disgust;0.51
scared;18.66
happy;23.38
sad;18.23
surprised;12.57
neutral;17.14
angry;6.16
disgust;0.54
scared;17.46
happy;26.70
sad;13.89
surprised;8.61
neutral;26.64
angry;6.25
disgust;0.45
scared;20.53
happy;30.34
sad;15.08
surprised;9.54
neutral;17.81
angry;5.45
disgust;0.64
scared;20.49
happy;34.86
sad;14.54
surprised;8.38
neutral;15.66
angry;3.89
disgust;0.86
scared;17.01
happy;26.62
sad;13.60
surprised;6.06
neutral;31.96
angry;5.73
disgust;0.35
scared;15.34
happy;31.52
sad;21.95
surprised;3.85
neutral;21.25
angry;4.93
disgust;1.91
scared;16.20
happy;28.06
sad;11.48
surprised;3.97
neutral;33.45
angry;9.16
disgust;0.48
scared;16.17
happy;22.24
sad;19.51
surprised;9.58
neutral;22.86
angry;5.90
disgust;0.69
scared;12.84
happy;25.58
sad;12.17
surprised;10.79
neutral;32.02
angry;3.32
disgust;0.77
scared;14.01
happy;30.47
sad;11.01
surprised;10.78
neutral;29.63
angry;4.20
disgust;0.48
scared;12.84
happy;29.42
sad;11.75
surprised;11.13
neutral;30.17
angry;5.80
disgust;0.48
scared;15.71
happy;24.49
sad;19.91
surprised;7.05
neutral;26.56
angry;5.15
disgust;0.49
scared;15.96
happy;30.04
sad;13.76
surprised;9.49
neutral;25.12
angry;7.09
disgust;0.62
scared;14.95
happy;22.77
sad;13.50
surprised;11.20
neutral;29.87
angry;10.25
disgust;0.50
scared;16.83
happy;20.83
sad;18.69
surprised;7.28
neutral;25.61
angry;4.92
disgust;1.02
scared;15.52
happy;31.11
sad;11.53
surprised;8.71
neutral;27.18
angry;4.18
disgust;0.50
scared;11.59
happy;32.24
sad;11.76
surprised;5.18
neutral;34.56
angry;4.33
disgust;0.68
scared;10.82
happy;28.14
sad;10.90
surprised;7.02
neutral;38.11
angry;5.66
disgust;1.27
scared;9.22
happy;29.88
sad;12.67
surprised;4.48
neutral;36.82
angry;8.44
disgust;1.03
scared;13.17
happy;34.21
sad;10.03
surprised;1.38
neutral;31.73
angry;14.44
disgust;0.58
scared;19.31
happy;20.86
sad;12.19
surprised;2.21
neutral;30.41
angry;8.59
disgust;0.50
scared;14.64
happy;29.76
sad;20.04
surprised;1.84
neutral;24.62
angry;11.46
disgust;1.36
scared;13.85
happy;28.18
sad;13.80
surprised;2.08
neutral;29.27
angry;7.13
disgust;0.46
scared;10.00
happy;31.14
sad;17.01
surprised;4.61
neutral;29.65
angry;9.76
disgust;0.31
scared;8.24
happy;30.87
sad;16.92
surprised;3.69
neutral;30.20
angry;9.93
disgust;0.67
scared;12.81
happy;25.31
sad;14.18
surprised;7.73
neutral;29.37
angry;18.54
disgust;0.37
scared;11.49
happy;19.57
sad;18.89
surprised;7.53
neutral;23.60
angry;14.56
disgust;0.50
scared;10.58
happy;25.84
sad;15.17
surprised;5.72
neutral;27.63
angry;6.90
disgust;0.35
scared;13.69
happy;28.13
sad;13.19
surprised;7.85
neutral;29.89
angry;6.69
disgust;0.27
scared;14.03
happy;26.64
sad;15.20
surprised;6.73
neutral;30.44
angry;12.55
disgust;0.62
scared;20.27
happy;19.26
sad;18.18
surprised;6.91
neutral;22.21
angry;11.17
disgust;0.57
scared;14.65
happy;22.69
sad;17.18
surprised;6.50
neutral;27.23
angry;7.09
disgust;0.28
scared;12.08
happy;26.32
sad;15.18
surprised;6.73
neutral;32.31
angry;8.45
disgust;0.40
scared;11.12
happy;30.94
sad;12.01
surprised;5.59
neutral;31.49
angry;14.83
disgust;1.31
scared;13.87
happy;23.21
sad;16.37
surprised;6.61
neutral;23.79
angry;13.47
disgust;0.63
scared;15.22
happy;23.82
sad;17.77
surprised;5.77
neutral;23.32
angry;10.01
disgust;0.77
scared;16.55
happy;27.10
sad;17.65
surprised;5.17
neutral;22.75
angry;9.42
disgust;1.01
scared;13.66
happy;26.34
sad;17.55
surprised;4.85
neutral;27.17
angry;9.84
disgust;0.60
scared;9.01
happy;26.46
sad;13.53
surprised;6.50
neutral;34.06
angry;11.73
disgust;0.97
scared;7.07
happy;26.36
sad;16.39
surprised;2.63
neutral;34.85
angry;12.94
disgust;0.66
scared;12.23
happy;25.51
sad;15.87
surprised;5.74
neutral;27.05
angry;8.47
disgust;0.77
scared;19.68
happy;23.30
sad;19.60
surprised;7.11
neutral;21.07
angry;8.31
disgust;0.50
scared;12.08
happy;25.02
sad;17.44
surprised;6.00
neutral;30.66
angry;12.04
disgust;0.41
scared;16.09
happy;22.62
sad;19.64
surprised;5.12
neutral;24.07
angry;12.03
disgust;0.85
scared;14.67
happy;20.46
sad;19.61
surprised;7.07
neutral;25.32
angry;10.00
disgust;0.48
scared;16.02
happy;20.16
sad;14.33
surprised;6.90
neutral;32.11
angry;9.13
disgust;0.79
scared;15.81
happy;21.61
sad;15.23
surprised;6.14
neutral;31.31
angry;8.73
disgust;0.95
scared;13.94
happy;21.94
sad;14.18
surprised;8.03
neutral;32.22
angry;9.14
disgust;0.61
scared;12.76
happy;25.30
sad;17.26
surprised;7.33
neutral;27.60
angry;7.96
disgust;0.83
scared;14.21
happy;28.77
sad;15.76
surprised;7.93
neutral;24.54
angry;4.51
disgust;0.40
scared;7.87
happy;29.68
sad;12.42
surprised;3.61
neutral;41.52
angry;5.20
disgust;0.44
scared;13.27
happy;30.84
sad;13.70
surprised;4.42
neutral;32.12
angry;5.76
disgust;0.65
scared;15.63
happy;31.69
sad;12.76
surprised;2.42
neutral;31.09
angry;7.38
disgust;0.85
scared;14.71
happy;35.65
sad;11.94
surprised;3.31
neutral;26.16
angry;7.61
disgust;0.64
scared;15.53
happy;29.67
sad;12.72
surprised;6.48
neutral;27.36
angry;6.02
disgust;0.54
scared;14.96
happy;29.75
sad;12.40
surprised;4.22
neutral;32.10
angry;8.44
disgust;1.91
scared;18.10
happy;25.60
sad;17.30
surprised;7.40
neutral;21.24
angry;5.55
disgust;0.05
scared;0.94
happy;86.26
sad;0.79
surprised;0.56
neutral;5.84
angry;14.27
disgust;0.60
scared;16.41
happy;20.91
sad;16.05
surprised;9.32
neutral;22.46
angry;11.05
disgust;0.74
scared;8.30
happy;28.26
sad;17.70
surprised;6.67
neutral;27.29
angry;10.13
disgust;0.14
scared;11.00
happy;33.50
sad;15.07
surprised;6.10
neutral;24.07
angry;8.39
disgust;0.15
scared;10.55
happy;30.35
sad;15.32
surprised;6.54
neutral;28.69
angry;3.28
disgust;0.19
scared;9.31
happy;19.27
sad;13.33
surprised;3.90
neutral;50.73
