Emotions;Percent
scared;16.26
happy;13.45
sad;10.54
surprised;8.95
neutral;31.84
angry;44.15
disgust;0.53
scared;5.01
happy;10.05
sad;5.74
surprised;2.38
neutral;32.14
angry;2.83
disgust;0.03
scared;26.36
happy;5.22
sad;5.73
surprised;11.94
neutral;47.90
angry;4.76
disgust;0.05
scared;25.77
happy;4.82
sad;8.27
surprised;8.90
neutral;47.42
angry;3.83
disgust;0.02
scared;28.45
happy;4.81
sad;4.86
surprised;14.33
neutral;43.70
angry;28.04
disgust;0.02
scared;29.92
happy;4.35
sad;12.83
surprised;6.94
neutral;17.90
angry;14.77
disgust;0.09
scared;34.12
happy;11.57
sad;5.08
surprised;17.30
neutral;17.08
angry;24.43
disgust;0.01
scared;29.52
happy;5.41
sad;10.10
surprised;11.83
neutral;18.69
angry;3.97
disgust;0.01
scared;28.28
happy;4.21
sad;3.72
surprised;15.37
neutral;44.43
angry;12.07
disgust;0.08
scared;25.52
happy;4.81
sad;13.54
surprised;14.63
neutral;29.36
angry;4.56
disgust;0.02
scared;27.27
happy;3.88
sad;6.35
surprised;14.87
neutral;43.05
angry;25.26
disgust;0.60
scared;12.23
happy;2.62
sad;9.83
surprised;9.51
neutral;39.94
angry;23.76
disgust;0.32
scared;4.79
happy;4.21
sad;4.76
surprised;12.04
neutral;50.11
angry;26.20
disgust;0.16
scared;5.46
happy;5.62
sad;6.79
surprised;4.09
neutral;51.68
angry;12.78
disgust;0.08
scared;24.62
happy;5.38
sad;6.30
surprised;27.62
neutral;23.21
angry;11.71
disgust;0.03
scared;27.83
happy;5.74
sad;9.42
surprised;11.52
neutral;33.75
angry;14.14
disgust;0.05
scared;21.92
happy;15.44
sad;6.04
surprised;10.26
neutral;32.15
angry;11.27
disgust;0.08
scared;43.56
happy;10.13
sad;4.69
surprised;12.83
neutral;17.44
angry;12.57
disgust;0.08
scared;21.27
happy;12.56
sad;5.85
surprised;18.89
neutral;28.79
angry;16.06
disgust;0.05
scared;20.14
happy;11.18
sad;10.12
surprised;8.06
neutral;34.38
angry;9.49
disgust;0.01
scared;22.69
happy;8.66
sad;5.02
surprised;21.14
neutral;32.98
angry;6.38
