angry;disgust;scared;happy;sad;surprised;neutral
3.77;0.24;9.33;1.99;26.75;0.17;57.74
4.62;0.14;8.13;1.3;29.58;0.16;56.07
3.22;0.15;8.33;1.69;26.62;0.12;59.87
3.87;0.17;10.13;1.42;42.19;0.37;41.86
4.3;0.12;10.41;1.25;37.28;0.33;46.31
4.77;0.06;15.29;0.35;39.68;0.28;39.57
3.72;0.09;7.8;0.88;21.98;0.12;65.41
3.88;0.11;8.31;0.59;24.45;0.2;62.46
4.63;0.11;13.4;0.27;47.18;0.43;33.98
3.23;0.03;11.99;0.29;38.9;0.22;45.34
3.9;0.09;17.94;0.54;40.2;0.38;36.95
3.41;0.09;7.28;0.52;29.04;0.13;59.53
3.69;0.09;13.1;0.77;39.08;0.35;42.92
3.93;0.13;9.58;1.34;30.3;0.25;54.48
3.38;0.09;10.55;0.68;34.57;0.32;50.42
3.76;0.11;14.63;0.86;38.01;0.48;42.15
4.71;0.05;14.94;0.37;37.43;0.19;42.32
3.99;0.07;15.24;0.36;41.09;0.29;38.96
3.89;0.16;10.88;0.84;43.52;0.26;40.46
3.35;0.15;9.99;1.75;38.23;0.44;46.09
3.48;0.05;12.28;0.91;38.84;0.17;44.26
2.79;0.16;8.51;1.64;33.82;0.2;52.89
2.78;0.14;10.2;2.88;35.43;0.16;48.41
3.49;0.16;11.81;2.26;31.8;0.15;50.33
2.99;0.08;8.86;1.36;27.47;0.1;59.15
2.96;0.13;10.44;1.52;32.15;0.23;52.58
4.36;0.02;14.02;6.29;4.48;8.78;62.05
3.29;0.05;9.09;1.09;30.29;0.12;56.08
3.2;0.11;9.0;0.97;33.39;0.15;53.18
2.01;0.03;6.99;1.83;23.0;0.1;66.03
2.57;0.12;7.58;1.99;27.4;0.16;60.18
2.88;0.16;8.93;1.8;30.48;0.19;55.56
3.31;0.21;9.36;1.31;34.68;0.17;50.97
2.49;0.09;7.31;1.66;24.94;0.1;63.41
3.38;0.23;10.73;1.07;35.88;0.19;48.52
3.58;0.04;9.04;1.17;29.55;0.11;56.52
2.84;0.1;6.88;1.72;24.06;0.1;64.28
2.38;0.06;6.06;1.71;21.43;0.1;68.26
2.92;0.09;5.22;2.72;25.38;0.06;63.6
