angry;disgust;scared;happy;sad;surprised;neutral
9.22;0.07;19.29;13.01;4.9;6.9;46.61
8.56;0.02;20.08;14.23;3.83;4.3;48.98
12.21;0.03;17.78;14.21;4.91;4.29;46.56
8.64;0.04;15.94;15.96;3.68;7.62;48.11
9.83;0.04;18.87;12.9;4.9;5.26;48.21
10.53;0.28;17.19;13.9;5.97;10.63;41.5
8.98;0.21;20.15;15.22;6.94;9.66;38.84
8.11;0.02;16.52;12.78;3.21;7.26;52.11
11.83;0.16;17.09;16.82;5.05;10.96;38.1
8.63;0.13;18.07;18.76;6.01;8.61;39.79
8.16;0.2;17.27;21.94;6.38;9.8;36.25
7.7;0.09;18.21;18.39;6.07;9.51;40.04
8.43;0.17;18.28;21.21;6.0;8.56;37.35
9.7;0.07;16.55;16.31;5.51;7.69;44.17
8.98;0.05;18.89;14.0;4.22;7.82;46.04
9.6;0.1;19.12;16.08;5.91;8.33;40.86
12.7;0.11;18.68;15.91;5.78;9.15;37.67
10.83;0.16;18.91;16.04;5.88;10.17;38.01
10.07;0.13;17.71;16.57;5.48;11.43;38.62
8.29;0.13;18.75;15.5;6.02;10.99;40.31
9.31;0.13;18.95;15.69;5.72;12.16;38.04
12.91;0.13;18.86;19.79;5.82;10.58;31.9
9.17;0.04;17.12;12.23;4.91;5.4;51.12
11.96;0.06;19.07;17.39;4.33;5.04;42.15
11.36;0.04;17.54;9.73;3.92;7.0;50.42
21.06;0.38;13.56;35.23;13.6;1.53;14.65
9.07;0.03;17.95;13.49;3.71;10.14;45.61
10.41;0.03;16.72;10.47;3.44;8.96;49.97
10.06;0.03;17.7;14.98;3.32;7.85;46.06
9.62;0.03;18.45;12.81;3.38;10.54;45.17
8.72;0.02;17.67;14.87;3.16;7.2;48.36
9.76;0.05;17.35;11.81;4.8;6.16;50.07
8.1;0.03;15.86;11.45;3.52;6.84;54.21
7.85;0.02;19.48;14.51;3.86;6.92;47.36
10.02;0.03;18.47;11.41;3.43;9.41;47.24
10.33;0.03;17.84;11.36;3.49;7.52;49.43
8.37;0.03;17.5;14.11;3.3;8.4;48.28
9.6;0.02;16.24;12.66;3.56;6.83;51.09
9.17;0.02;15.6;13.28;3.46;6.17;52.3
9.11;0.03;17.01;12.71;3.6;6.46;51.08
12.18;0.05;18.76;12.96;3.86;6.09;46.11
9.21;0.01;16.46;10.11;3.15;7.47;53.59
9.82;0.02;19.3;10.52;4.26;6.01;50.06
10.91;0.04;17.66;9.91;4.71;6.03;50.74
9.11;0.03;16.88;11.6;3.72;7.32;51.34
8.65;0.02;16.34;12.54;3.2;7.17;52.08
9.09;0.02;16.81;12.39;3.46;6.26;51.97
10.68;0.02;16.61;10.31;4.54;5.9;51.93
8.93;0.02;15.87;8.02;3.74;6.81;56.6
9.69;0.03;21.33;10.1;5.12;6.17;47.55
10.02;0.04;19.56;10.25;5.2;5.9;49.02
10.01;0.03;17.25;8.52;4.89;6.18;53.12
9.63;0.03;18.66;11.05;4.33;7.15;49.14
7.34;0.02;15.22;6.99;6.73;32.87;30.83
9.65;0.03;20.09;11.23;4.77;7.16;47.07
10.55;0.02;16.81;11.39;3.7;7.48;50.05
8.21;0.01;17.86;7.87;6.61;26.26;33.17
8.73;0.01;19.31;7.04;8.07;21.23;35.6
8.07;0.01;18.33;7.36;6.82;24.26;35.13
8.46;0.02;18.15;13.07;3.5;7.45;49.34
6.65;0.02;15.54;7.79;6.03;34.01;29.96
10.47;0.03;18.4;12.22;3.78;6.98;48.13
7.56;0.02;19.27;8.62;6.79;28.48;29.26
8.9;0.02;19.39;7.5;6.84;28.9;28.46
9.92;0.03;18.36;10.54;4.31;8.08;48.77
10.11;0.03;19.37;11.74;4.7;6.32;47.73
9.79;0.02;17.2;7.97;7.8;25.8;31.43
8.38;0.01;18.25;8.23;7.36;25.98;31.78
7.83;0.01;16.44;8.12;6.61;30.48;30.51
8.1;0.02;17.55;8.68;7.01;29.95;28.69
8.2;0.02;16.26;8.89;6.66;30.03;29.94
7.71;0.02;16.79;8.27;7.19;33.69;26.33
8.02;0.01;16.54;7.76;6.89;31.7;29.08
8.93;0.02;17.81;7.97;6.9;32.01;26.36
7.47;0.01;17.17;7.92;6.05;32.52;28.86
7.82;0.02;16.76;7.49;6.25;33.07;28.59
7.52;0.02;17.58;8.19;6.73;29.71;30.25
8.3;0.02;17.95;7.92;7.22;27.59;31.0
8.09;0.02;18.26;7.77;7.49;28.39;29.97
8.57;0.02;19.26;13.5;3.53;7.65;47.47
10.08;0.03;19.73;8.98;7.78;27.29;26.11
10.21;0.02;21.09;9.01;7.88;24.7;27.09
