angry;disgust;scared;happy;sad;surprised;neutral
7.07;0.01;22.25;16.26;2.22;16.1;36.09
9.51;0.04;31.29;13.92;3.38;12.07;29.79
10.3;0.05;32.46;26.75;4.39;9.12;16.94
4.65;2.31;18.48;10.94;9.77;33.26;20.58
3.39;1.46;12.33;6.05;7.4;30.75;38.62
5.01;2.96;15.49;10.51;7.34;20.15;38.53
5.79;0.12;25.03;31.5;5.17;11.32;21.06
11.26;0.05;39.46;11.32;4.0;11.07;22.84
4.0;0.02;18.0;7.07;5.65;7.25;58.02
4.5;1.86;11.95;17.96;10.2;14.88;38.64
8.34;2.97;12.87;9.08;13.34;9.67;43.72
5.62;2.3;9.48;16.92;13.25;23.17;29.26
7.11;2.75;9.65;20.45;16.75;8.44;34.85
4.46;0.02;19.28;7.23;6.04;11.92;51.06
6.01;2.48;11.2;15.53;14.93;15.2;34.66
5.96;0.03;24.1;19.68;3.26;11.66;35.31
4.78;1.29;12.34;14.72;19.13;11.61;36.13
8.96;0.03;24.13;18.78;2.61;14.21;31.28
8.54;0.02;19.91;17.65;2.48;17.1;34.3
4.66;3.17;8.53;23.73;9.78;10.75;39.37
4.82;3.49;11.82;19.71;11.37;17.7;31.09
5.47;3.16;9.9;16.69;11.68;18.17;34.92
5.01;3.45;15.17;16.41;8.08;30.25;21.62
3.93;5.6;12.55;6.85;12.81;30.47;27.8
3.52;1.94;13.74;10.22;11.7;30.56;28.31
4.57;0.63;21.04;4.25;16.91;23.87;28.72
3.46;1.41;8.16;9.45;12.33;22.7;42.48
3.37;1.82;8.19;7.18;7.68;42.96;28.8
4.96;1.1;15.31;4.04;8.6;34.22;31.78
6.89;0.0;14.87;7.86;2.94;15.16;52.28
2.74;0.79;13.51;8.95;12.16;34.95;26.89
18.91;0.63;16.69;7.22;17.19;3.49;35.88
5.87;2.71;7.84;19.08;11.22;5.57;47.71
6.73;3.34;6.91;28.67;10.47;4.82;39.07
6.8;3.35;9.42;19.49;11.96;10.59;38.4
5.55;0.26;32.52;28.01;5.8;7.64;20.22
3.28;0.94;15.85;8.13;13.0;28.06;30.74
5.55;2.14;8.56;30.39;10.65;13.24;29.46
6.45;0.0;14.22;5.44;2.72;11.21;59.95
4.63;4.19;10.72;11.69;14.83;14.14;39.79
4.0;0.01;17.31;5.49;4.6;14.66;53.93
2.05;1.2;15.94;6.16;9.17;43.23;22.25
4.64;2.42;12.42;11.86;15.41;22.17;31.08
7.28;0.03;15.55;8.78;6.82;9.77;51.78
3.73;5.05;11.21;14.4;9.01;25.22;31.36
3.98;3.4;13.98;14.06;10.16;29.14;25.28
6.09;0.27;35.09;18.71;5.84;7.62;26.37
4.95;2.98;11.3;18.74;13.24;19.68;29.12
4.45;2.51;10.42;12.29;12.79;26.49;31.03
3.43;3.32;10.61;10.88;17.13;26.89;27.74
6.34;0.11;31.69;27.35;8.01;7.96;18.54
6.26;4.76;12.06;11.61;11.73;26.23;27.35
6.0;0.02;21.23;16.53;2.45;21.3;32.47
5.08;0.73;8.49;11.41;12.09;40.81;21.4
4.25;0.0;13.99;4.27;3.43;21.46;52.61
4.02;0.01;15.32;6.23;3.98;17.1;53.33
9.1;0.21;37.96;23.06;5.77;3.71;20.21
12.48;0.23;31.78;24.11;5.85;7.62;17.94
6.44;1.88;7.85;34.92;13.21;14.9;20.79
8.81;0.02;21.9;18.32;2.9;14.57;33.48
3.39;0.93;11.88;13.87;18.92;31.74;19.27
3.77;0.01;16.15;6.07;3.94;15.39;54.66
2.18;0.65;16.78;8.85;12.89;42.04;16.62
9.62;0.08;36.35;18.36;5.66;4.92;25.0
4.01;0.01;16.51;5.05;3.91;15.05;55.47
3.01;0.36;12.04;16.0;9.36;38.69;20.54
2.97;0.62;14.09;11.13;11.66;30.43;29.1
3.77;0.01;16.46;6.37;3.9;17.91;51.58
2.34;0.71;10.21;10.15;9.24;41.0;26.36
4.1;0.0;12.66;4.08;2.92;27.3;48.93
