angry;disgust;scared;happy;sad;surprised;neutral
9.54;0.09;12.74;31.62;5.28;5.14;35.58
8.55;0.05;11.7;36.1;4.96;6.34;32.31
7.24;0.04;9.8;40.07;4.88;4.41;33.55
7.29;0.02;10.37;29.39;4.93;4.74;43.27
11.3;0.03;11.53;38.42;5.11;3.63;29.97
5.17;0.03;7.2;50.39;3.22;4.44;29.55
2.45;0.01;5.37;28.13;2.77;10.6;50.67
2.6;0.0;5.86;33.81;2.61;7.43;47.68
2.61;0.01;6.71;30.61;2.78;9.72;47.57
10.07;0.02;11.04;33.11;4.21;4.78;36.77
3.9;0.01;5.98;25.71;3.39;12.83;48.18
11.96;0.01;19.93;14.53;5.92;6.43;41.21
3.9;0.05;7.06;50.9;5.41;2.01;30.68
5.04;0.06;8.47;45.35;4.44;3.29;33.34
3.35;0.02;8.91;46.84;4.0;3.62;33.25
3.3;0.03;9.01;46.52;4.26;3.42;33.46
2.31;0.01;5.17;29.37;2.41;5.31;55.44
4.4;0.01;7.06;26.59;2.49;17.62;41.84
7.53;0.11;16.45;22.11;4.24;19.91;29.65
8.82;0.17;13.32;24.43;4.8;19.2;29.26
7.06;0.13;9.88;28.67;3.88;24.12;26.26
6.44;0.01;15.65;33.53;5.38;1.81;37.19
6.05;0.03;12.39;24.55;8.36;0.88;47.73
12.1;0.02;23.57;10.24;5.22;6.26;42.59
14.62;0.05;21.99;10.0;6.66;4.4;42.29
13.07;0.03;27.56;8.88;6.59;4.92;38.95
14.36;0.04;26.14;9.09;6.13;6.32;37.9
12.31;0.01;21.9;11.86;5.26;3.43;45.23
13.25;0.02;26.98;9.9;6.77;3.96;39.12
15.57;0.02;25.26;9.67;5.84;5.09;38.55
14.3;0.01;25.04;10.61;5.31;7.59;37.14
13.33;0.02;23.67;10.3;5.06;6.42;41.2
14.36;0.03;24.91;10.43;5.63;7.84;36.81
11.33;0.03;25.62;10.2;5.53;5.81;41.47
12.66;0.01;25.43;9.8;5.3;3.73;43.08
12.58;0.02;28.57;9.25;6.0;5.67;37.9
14.13;0.02;27.84;10.5;5.24;6.19;36.07
13.65;0.02;26.38;10.22;5.34;4.62;39.78
12.78;0.02;23.77;10.23;5.66;4.82;42.72
14.53;0.03;22.33;11.42;5.77;5.73;40.2
13.28;0.03;23.06;11.1;5.16;5.62;41.75
12.01;0.02;23.56;10.51;5.19;5.28;43.42
5.42;0.06;22.32;31.14;5.68;2.53;32.85
14.83;0.03;24.58;10.15;5.05;7.3;38.06
14.94;0.03;24.94;8.9;6.57;11.09;33.52
13.77;0.02;26.07;9.27;5.23;9.88;35.76
4.44;0.04;14.07;33.25;8.03;1.22;38.95
12.06;0.11;11.93;28.91;4.98;11.42;30.59
10.24;0.01;17.14;10.22;5.12;4.07;53.21
15.5;0.01;23.2;10.45;7.83;3.1;39.9
14.55;0.02;21.13;11.05;8.58;2.98;41.69
12.96;0.03;24.06;11.57;8.38;4.23;38.77
12.61;0.03;26.63;10.05;9.1;3.82;37.76
12.04;0.02;21.06;9.92;6.76;3.66;46.54
11.75;0.03;20.04;11.31;7.09;4.54;45.24
12.06;0.03;20.15;11.66;6.12;4.54;45.44
14.01;0.04;23.86;10.49;8.49;4.4;38.71
17.99;0.04;21.93;11.04;7.69;4.9;36.41
12.22;0.03;21.22;11.26;7.4;4.33;43.54
12.63;0.04;19.45;11.19;6.22;4.37;46.1
13.02;0.02;23.17;11.85;5.97;4.27;41.7
14.49;0.01;21.9;10.57;5.54;3.41;44.07
14.68;0.05;24.2;8.94;5.21;8.21;38.72
13.53;0.03;21.62;10.76;5.33;4.74;44.0
11.56;0.02;20.6;11.61;5.76;4.99;45.47
17.47;0.06;22.61;8.85;6.71;7.51;36.79
12.06;0.12;12.66;45.7;3.86;9.96;15.65
11.71;0.1;16.24;20.75;11.56;1.55;38.09
7.75;0.03;17.33;20.96;4.96;2.3;46.68
8.55;0.02;18.28;17.57;4.38;2.85;48.36
8.41;0.06;20.19;24.18;4.94;2.84;39.38
6.42;0.13;17.69;31.04;6.65;2.81;35.27
6.5;0.04;14.85;26.66;6.22;2.5;43.23
9.02;0.08;17.46;20.72;6.23;2.56;43.92
9.46;0.24;25.15;22.44;7.25;5.56;29.9
7.3;0.14;18.01;27.65;6.52;2.78;37.6
7.94;0.08;21.96;22.82;5.5;2.13;39.57
6.81;0.11;19.53;21.39;5.83;2.68;43.64
9.69;0.08;26.75;18.76;5.23;2.28;37.2
7.98;0.25;21.37;19.5;6.79;2.73;41.38
8.03;0.17;23.0;20.21;5.57;2.17;40.86
10.73;0.14;23.18;21.21;7.72;1.93;35.09
7.13;0.2;21.05;20.56;8.71;2.32;40.03
7.02;0.2;28.35;26.82;5.92;4.37;27.32
8.9;0.48;11.53;37.15;9.85;1.22;30.87
8.1;0.42;10.71;36.63;8.46;1.6;34.08
7.75;0.34;16.09;22.0;12.05;1.25;40.53
3.42;0.03;5.7;69.52;2.87;6.51;11.95
7.87;0.26;17.84;22.33;10.8;1.51;39.39
8.15;0.21;14.01;21.9;13.52;1.43;40.78
5.27;0.23;12.78;32.27;7.64;1.76;40.05
8.63;0.39;23.59;27.32;7.39;2.52;30.16
5.88;0.19;20.77;25.16;8.37;1.6;38.03
8.94;0.44;16.44;33.55;7.2;1.99;31.45
6.95;0.13;25.31;26.02;8.0;1.99;31.6
6.78;0.08;23.18;26.5;6.25;2.21;35.0
6.43;0.23;21.53;32.87;6.67;2.25;30.02
3.37;0.02;6.35;68.91;3.08;6.01;12.25
4.43;0.02;8.17;61.96;4.39;6.66;14.37
5.28;0.07;7.09;38.29;5.09;15.19;28.99
10.89;0.35;16.52;18.83;13.59;1.82;38.01
5.88;0.11;16.96;30.16;5.7;2.43;38.77
7.7;0.05;22.76;21.88;5.95;1.96;39.69
5.57;0.03;17.12;21.56;5.29;4.44;45.99
4.67;0.1;19.14;27.53;6.09;4.23;38.24
7.15;0.04;4.93;68.96;3.47;4.35;11.1
7.8;0.03;8.72;50.78;4.77;8.19;19.71
5.9;0.04;17.23;21.03;8.82;0.83;46.15
6.03;0.02;15.17;26.76;8.08;1.06;42.88
8.82;0.02;18.13;23.81;9.64;1.33;38.24
8.15;0.04;22.26;23.14;8.48;1.84;36.09
8.02;0.02;18.62;22.68;7.32;1.88;41.46
5.1;0.02;18.24;29.32;6.29;3.66;37.37
5.78;0.02;14.0;19.67;9.21;1.34;49.98
6.99;0.02;15.69;23.76;7.65;1.65;44.24
7.58;0.03;18.35;22.21;7.21;1.91;42.7
6.96;0.03;23.36;18.59;6.84;1.51;42.71
6.7;0.02;22.87;14.64;8.92;1.44;45.42
5.9;0.03;19.33;18.75;7.91;1.48;46.6
6.8;0.02;24.9;24.4;6.99;2.03;34.86
6.6;0.04;20.63;16.38;7.81;1.46;47.08
5.88;0.02;18.24;23.86;5.98;1.76;44.26
7.5;0.03;20.25;20.93;7.95;2.47;40.86
8.21;0.05;11.74;26.41;6.67;16.19;30.72
6.59;0.02;18.48;16.64;7.84;1.46;48.98
6.87;0.07;9.74;28.65;5.61;22.11;26.95
6.06;0.07;8.0;37.91;4.52;16.61;26.82
5.47;0.05;8.63;34.49;4.91;19.66;26.78
7.22;0.08;9.59;32.17;4.91;21.47;24.55
6.99;0.1;8.98;36.46;5.06;20.16;22.26
7.74;0.21;9.52;32.66;4.47;22.49;22.92
8.42;0.14;9.02;31.29;5.2;21.52;24.41
5.63;0.04;12.24;25.82;6.9;1.45;47.91
12.78;0.02;21.29;9.84;5.32;5.34;45.42
8.6;0.1;19.13;28.07;5.3;3.03;35.78
8.44;0.08;17.25;28.28;6.33;1.72;37.9
9.32;0.08;13.82;33.23;5.85;1.53;36.17
17.63;0.1;9.1;42.76;3.14;7.8;19.48
9.2;0.04;11.53;21.17;6.7;11.67;39.69
6.04;0.09;16.54;41.69;8.63;1.43;25.58
6.64;0.18;21.07;30.56;6.71;3.12;31.71
10.34;0.17;10.5;34.77;7.12;12.95;24.14
9.07;0.09;12.63;27.89;6.98;13.75;29.59
5.81;0.05;22.82;22.72;8.78;2.2;37.63
13.8;0.12;9.59;42.94;4.48;11.13;17.95
11.15;0.23;10.18;37.49;4.33;12.48;24.14
10.45;0.25;10.66;40.24;4.84;14.35;19.21
7.77;0.11;10.78;35.16;4.2;11.85;30.14
5.9;0.1;12.53;45.72;7.21;1.49;27.04
6.87;0.12;15.96;33.31;9.42;1.68;32.63
8.07;0.1;18.66;29.65;9.9;1.38;32.24
7.57;0.1;21.05;28.34;6.93;2.81;33.19
9.24;0.17;19.6;21.71;7.31;2.84;39.13
12.13;0.13;13.52;47.27;3.66;9.74;13.54
3.38;0.06;4.09;75.05;2.26;6.96;8.19
9.09;0.07;19.97;30.26;6.26;1.9;32.45
3.29;0.03;4.43;72.87;2.18;5.92;11.29
11.88;0.01;22.78;13.31;4.17;3.56;44.3
7.13;0.09;16.3;29.83;6.99;0.92;38.74
6.46;0.09;13.21;40.64;5.94;1.31;32.36
7.84;0.05;17.24;29.49;6.55;1.49;37.35
7.54;0.11;19.24;25.07;7.84;1.61;38.58
7.27;0.06;16.39;27.49;7.65;2.09;39.05
7.66;0.05;18.19;26.82;6.8;2.23;38.25
6.97;0.05;19.2;29.2;5.91;3.98;34.68
