angry;disgust;scared;happy;sad;surprised;neutral
9.58;2.25;18.76;22.79;5.64;17.49;23.48
8.97;2.59;18.24;22.39;6.91;16.35;24.54
15.16;4.14;19.1;16.62;7.19;11.81;25.99
4.99;0.0;10.79;5.49;3.7;27.31;47.73
8.14;4.29;15.92;22.6;5.27;12.83;30.94
3.13;0.0;10.67;5.29;3.36;32.63;44.92
4.09;0.0;11.23;5.68;3.57;26.97;48.46
3.25;0.0;14.8;5.42;3.85;15.02;57.65
15.86;4.99;13.78;2.74;12.3;3.78;46.54
3.85;0.0;18.15;4.23;3.69;19.8;50.28
16.67;6.5;16.74;16.74;4.83;3.85;34.67
16.02;8.16;17.36;9.33;8.14;5.4;35.6
15.62;32.66;7.52;11.04;10.06;4.02;19.08
16.87;3.47;7.73;41.06;5.23;3.07;22.57
2.99;3.17;18.78;6.58;18.08;25.05;25.34
4.83;0.02;15.89;4.46;4.68;22.21;47.91
4.95;6.44;15.06;7.21;22.26;14.88;29.21
4.95;0.02;15.96;5.2;4.48;22.22;47.18
4.89;0.02;15.96;4.99;4.51;20.33;49.3
4.0;4.25;15.8;9.65;20.6;14.53;31.16
3.68;5.55;14.42;6.69;21.12;18.99;29.56
7.77;0.09;25.57;17.44;4.36;12.33;32.44
6.79;0.25;26.73;16.66;5.6;17.15;26.83
8.3;1.57;17.89;18.65;5.68;12.16;35.76
6.84;3.11;16.2;19.44;7.12;14.92;32.36
5.8;4.97;13.9;25.03;5.86;19.65;24.79
4.11;3.94;12.77;28.54;5.77;22.54;22.33
3.77;2.14;19.16;20.85;8.93;25.99;19.15
3.31;3.15;17.18;20.02;8.5;26.02;21.81
2.99;3.14;11.81;24.09;5.66;30.33;21.99
3.72;2.19;11.39;24.86;4.99;31.67;21.17
4.58;1.8;10.73;25.04;4.51;30.38;22.96
4.46;4.98;13.55;23.14;7.29;21.45;25.13
4.41;6.79;14.36;22.25;8.22;22.74;21.23
5.25;8.06;17.58;21.95;8.73;21.09;17.35
6.46;12.34;20.89;18.63;8.56;17.55;15.56
