Emotions;Percent
angry;9.58
disgust;2.25
scared;18.76
happy;22.79
sad;5.64
surprised;17.49
neutral;23.48
angry;8.97
disgust;2.59
scared;18.24
happy;22.39
sad;6.91
surprised;16.35
neutral;24.54
angry;15.16
disgust;4.14
scared;19.10
happy;16.62
sad;7.19
surprised;11.81
neutral;25.99
angry;4.99
disgust;0.00
scared;10.79
happy;5.49
sad;3.70
surprised;27.31
neutral;47.73
angry;8.14
disgust;4.29
scared;15.92
happy;22.60
sad;5.27
surprised;12.83
neutral;30.94
angry;3.13
disgust;0.00
scared;10.67
happy;5.29
sad;3.36
surprised;32.63
neutral;44.92
angry;4.09
disgust;0.00
scared;11.23
happy;5.68
sad;3.57
surprised;26.97
neutral;48.46
angry;3.25
disgust;0.00
scared;14.80
happy;5.42
sad;3.85
surprised;15.02
neutral;57.65
angry;15.86
disgust;4.99
scared;13.78
happy;2.74
sad;12.30
surprised;3.78
neutral;46.54
angry;3.85
disgust;0.00
scared;18.15
happy;4.23
sad;3.69
surprised;19.80
neutral;50.28
angry;16.67
disgust;6.50
scared;16.74
happy;16.74
sad;4.83
surprised;3.85
neutral;34.67
angry;16.02
disgust;8.16
scared;17.36
happy;9.33
sad;8.14
surprised;5.40
neutral;35.60
angry;15.62
disgust;32.66
scared;7.52
happy;11.04
sad;10.06
surprised;4.02
neutral;19.08
angry;16.87
disgust;3.47
scared;7.73
happy;41.06
sad;5.23
surprised;3.07
neutral;22.57
angry;2.99
disgust;3.17
scared;18.78
happy;6.58
sad;18.08
surprised;25.05
neutral;25.34
angry;4.83
disgust;0.02
scared;15.89
happy;4.46
sad;4.68
surprised;22.21
neutral;47.91
angry;4.95
disgust;6.44
scared;15.06
happy;7.21
sad;22.26
surprised;14.88
neutral;29.21
angry;4.95
disgust;0.02
scared;15.96
happy;5.20
sad;4.48
surprised;22.22
neutral;47.18
angry;4.89
disgust;0.02
scared;15.96
happy;4.99
sad;4.51
surprised;20.33
neutral;49.30
angry;4.00
disgust;4.25
scared;15.80
happy;9.65
sad;20.60
surprised;14.53
neutral;31.16
angry;3.68
disgust;5.55
scared;14.42
happy;6.69
sad;21.12
surprised;18.99
neutral;29.56
angry;7.77
disgust;0.09
scared;25.57
happy;17.44
sad;4.36
surprised;12.33
neutral;32.44
angry;6.79
disgust;0.25
scared;26.73
happy;16.66
sad;5.60
surprised;17.15
neutral;26.83
angry;8.30
disgust;1.57
scared;17.89
happy;18.65
sad;5.68
surprised;12.16
neutral;35.76
angry;6.84
disgust;3.11
scared;16.20
happy;19.44
sad;7.12
surprised;14.92
neutral;32.36
angry;5.80
disgust;4.97
scared;13.90
happy;25.03
sad;5.86
surprised;19.65
neutral;24.79
angry;4.11
disgust;3.94
scared;12.77
happy;28.54
sad;5.77
surprised;22.54
neutral;22.33
angry;3.77
disgust;2.14
scared;19.16
happy;20.85
sad;8.93
surprised;25.99
neutral;19.15
angry;3.31
disgust;3.15
scared;17.18
happy;20.02
sad;8.50
surprised;26.02
neutral;21.81
angry;2.99
disgust;3.14
scared;11.81
happy;24.09
sad;5.66
surprised;30.33
neutral;21.99
angry;3.72
disgust;2.19
scared;11.39
happy;24.86
sad;4.99
surprised;31.67
neutral;21.17
angry;4.58
disgust;1.80
scared;10.73
happy;25.04
sad;4.51
surprised;30.38
neutral;22.96
angry;4.46
disgust;4.98
scared;13.55
happy;23.14
sad;7.29
surprised;21.45
neutral;25.13
angry;4.41
disgust;6.79
scared;14.36
happy;22.25
sad;8.22
surprised;22.74
neutral;21.23
angry;5.25
disgust;8.06
scared;17.58
happy;21.95
sad;8.73
surprised;21.09
neutral;17.35
angry;6.46
disgust;12.34
scared;20.89
happy;18.63
sad;8.56
surprised;17.55
neutral;15.56
angry;6.65
disgust;8.92
scared;20.58
happy;25.89
sad;8.00
surprised;15.56
neutral;14.40
angry;9.30
disgust;20.20
scared;22.46
happy;19.62
sad;7.16
surprised;8.01
neutral;13.25
angry;9.83
disgust;10.60
scared;20.89
happy;25.71
sad;6.66
surprised;11.84
neutral;14.46
angry;7.30
disgust;6.77
scared;16.82
happy;35.35
sad;5.38
surprised;9.34
neutral;19.05
