angry;disgust;scared;happy;sad;surprised;neutral
4.11;0.07;3.17;12.87;14.73;0.28;64.77
19.43;0.6;17.78;4.96;6.59;3.07;47.57
7.22;0.98;7.28;4.56;19.66;0.24;60.06
7.51;0.53;6.31;3.71;19.62;0.29;62.03
8.12;0.48;14.41;1.43;23.69;0.68;51.2
7.18;0.44;10.99;2.67;18.34;1.21;59.17
10.35;1.42;16.55;1.71;19.59;1.8;48.58
15.89;1.56;28.24;0.82;18.02;1.78;33.69
25.44;1.8;21.42;22.86;19.17;0.7;8.6
3.33;0.16;5.13;1.2;5.92;0.9;83.36
5.63;0.17;4.85;0.91;6.93;1.19;80.32
2.47;0.0;10.4;5.67;1.89;13.03;66.53
6.78;0.65;3.42;49.95;25.91;0.33;12.96
16.74;0.33;18.65;0.37;8.06;1.46;54.38
15.81;0.3;16.62;0.32;7.94;0.93;58.07
27.45;0.82;11.49;0.62;5.1;1.53;52.99
4.19;0.07;6.89;0.9;3.2;1.29;83.47
14.98;0.3;17.02;0.24;7.14;2.11;58.2
2.88;0.0;12.06;5.91;1.76;18.32;59.06
4.04;0.08;5.1;0.76;5.76;0.6;83.66
2.62;0.03;4.57;1.24;3.99;0.32;87.23
12.23;0.19;10.01;1.57;5.63;1.85;68.53
15.82;0.71;16.47;0.62;10.01;1.73;54.64
8.98;0.33;12.66;2.88;5.92;2.12;67.1
18.18;0.48;14.35;1.66;4.77;3.41;57.16
15.97;0.35;15.92;1.62;5.85;3.9;56.38
9.41;0.74;12.66;1.46;8.33;1.97;65.43
8.91;0.34;11.93;1.32;7.1;2.28;68.12
8.55;0.36;9.07;0.83;7.18;1.89;72.13
8.42;0.39;18.87;0.53;9.17;1.83;60.79
12.08;0.46;21.0;0.35;9.19;1.62;55.29
16.92;0.49;16.48;0.34;9.35;1.3;55.12
9.46;0.39;8.48;28.78;31.47;4.49;16.93
9.46;0.39;8.48;28.78;31.47;4.49;16.93
9.46;0.39;8.48;28.76;31.46;4.49;16.95
40.74;2.84;21.52;1.14;4.89;5.71;23.16
30.44;10.85;14.51;1.05;3.03;15.72;24.4
37.07;6.74;11.88;1.5;3.85;5.79;33.16
26.57;1.11;9.24;8.05;4.6;19.45;30.97
26.75;0.59;11.94;13.14;3.03;15.48;29.07
9.96;0.04;6.29;34.18;30.58;1.67;17.29
9.96;0.04;6.29;34.18;30.58;1.67;17.29
21.88;0.28;13.51;12.7;4.52;18.86;28.25
24.09;0.31;12.88;10.99;3.88;22.43;25.41
25.34;0.26;7.85;20.8;4.61;23.61;17.54
17.38;0.17;10.49;21.56;27.1;1.12;22.18
17.03;0.17;10.45;21.76;27.15;1.11;22.33
20.17;0.14;5.08;34.83;3.17;14.62;21.99
16.14;0.09;3.77;42.63;1.92;14.94;20.51
10.9;0.11;2.56;47.61;1.6;17.12;20.11
15.31;0.02;17.14;20.12;3.34;9.08;34.99
15.31;0.02;17.14;20.12;3.34;9.08;34.99
20.23;0.26;13.7;2.31;13.83;4.05;45.62
3.17;0.1;12.82;7.44;7.6;33.13;35.75
12.49;0.15;4.69;38.26;26.73;0.52;17.16
24.96;0.88;17.74;8.01;7.94;11.8;28.66
16.57;0.05;6.88;42.95;17.2;2.0;14.34
16.17;0.18;8.75;30.13;25.68;2.15;16.94
4.17;0.01;9.22;34.47;7.78;5.52;38.83
6.39;0.21;3.47;5.33;8.76;0.21;75.62
5.9;0.0;14.06;6.34;3.41;15.62;54.67
12.88;0.19;3.01;14.24;8.77;0.56;60.33
10.33;0.05;5.99;34.61;13.23;1.44;34.35
10.33;0.05;5.99;34.61;13.23;1.44;34.35
9.22;0.03;2.7;5.22;8.55;0.19;74.08
8.28;0.05;3.8;10.4;11.21;0.3;65.95
4.34;0.01;15.01;12.7;13.59;3.48;50.87
8.78;0.19;16.12;23.69;10.7;3.32;37.19
8.79;0.19;16.12;23.7;10.7;3.32;37.18
5.23;0.02;2.07;6.42;7.23;0.36;78.67
5.25;0.02;2.14;5.93;7.43;0.34;78.89
5.65;0.03;2.75;8.95;9.15;0.31;73.16
9.39;0.05;6.46;8.62;10.3;0.91;64.27
6.58;0.09;3.49;11.7;9.73;0.21;68.21
9.59;0.06;11.98;23.36;24.53;0.81;29.67
20.0;0.05;13.68;17.83;37.91;2.02;8.51
16.32;0.12;3.48;8.06;8.47;0.17;63.38
8.77;0.1;3.91;9.93;9.37;0.42;67.51
5.23;0.03;3.08;4.79;9.65;0.41;76.81
5.19;0.1;3.44;11.91;8.73;0.4;70.23
12.21;0.02;16.35;7.11;35.61;1.05;27.64
3.61;0.09;3.13;10.64;9.59;0.48;72.46
3.15;0.08;3.43;12.59;9.19;0.54;71.02
2.91;0.08;1.99;17.2;6.17;0.47;71.17
7.91;0.0;11.53;11.0;3.62;6.21;59.74
8.65;0.14;5.1;5.47;11.31;0.99;68.33
11.14;0.5;5.61;8.34;10.11;0.38;63.92
9.71;0.02;15.61;14.77;7.67;5.22;47.01
5.47;0.15;8.54;20.5;32.2;1.8;31.33
5.2;0.11;7.41;19.93;33.32;1.92;32.12
4.63;0.14;2.9;19.72;6.41;0.69;65.49
1.83;0.05;1.72;15.44;5.15;0.55;75.26
2.29;0.06;2.31;12.5;9.22;0.44;73.18
2.79;0.07;2.32;11.07;9.38;0.37;73.99
3.85;0.09;3.16;9.5;9.14;0.41;73.85
4.35;0.08;3.91;11.09;7.57;0.65;72.34
1.75;0.05;1.69;17.71;4.27;0.57;73.97
2.62;0.03;2.02;9.63;7.64;0.39;77.68
2.92;0.04;2.4;8.29;8.4;0.58;77.37
7.37;0.1;3.2;9.76;5.56;0.34;73.66
3.66;0.07;1.94;15.29;5.76;0.27;73.01
6.62;0.11;11.12;23.56;10.37;11.83;36.39
6.62;0.11;11.12;23.56;10.37;11.83;36.39
9.32;0.03;5.65;2.58;12.65;0.17;69.6
3.45;0.02;2.73;4.51;8.19;0.29;80.81
1.88;0.02;1.64;9.28;5.92;0.28;80.99
4.15;0.02;2.42;1.22;5.5;0.48;86.22
2.13;0.02;1.59;5.5;6.33;0.08;84.34
2.55;0.03;2.08;7.56;10.59;0.28;76.91
3.82;0.07;2.64;6.45;9.36;0.23;77.43
3.8;0.02;7.08;15.96;5.47;3.23;64.43
6.78;0.02;17.92;16.5;6.62;14.08;38.08
4.14;0.02;2.62;6.45;8.53;0.13;78.11
2.16;0.03;1.54;11.64;7.08;0.21;77.35
2.9;0.02;2.17;7.93;7.34;0.17;79.47
2.16;0.04;1.62;20.84;5.15;0.24;69.95
