angry;disgust;scared;happy;sad;surprised;neutral
4.61;0.01;8.15;0.13;35.64;0.22;51.25
4.03;0.01;7.91;0.36;29.74;0.43;57.51
4.72;0.01;8.32;0.22;31.87;0.26;54.6
3.28;0.01;8.73;0.28;31.07;0.3;56.33
3.64;0.01;7.51;0.43;26.48;0.24;61.68
4.94;0.02;10.49;0.17;24.42;0.31;59.66
3.83;0.02;9.89;0.18;24.43;0.19;61.46
4.29;0.02;9.37;0.18;26.01;0.16;59.97
4.56;0.02;11.11;0.22;22.5;0.24;61.35
4.68;0.03;10.86;0.19;20.35;0.23;63.66
4.44;0.01;17.1;4.0;5.01;10.01;59.44
4.09;0.0;16.96;4.5;5.02;11.86;57.57
2.51;0.01;6.48;0.24;20.71;0.09;69.96
4.48;0.0;17.8;3.76;4.74;9.08;60.13
4.18;0.01;16.13;4.13;5.18;10.37;60.01
3.74;0.01;7.59;0.23;20.29;0.07;68.06
4.96;0.0;16.95;4.93;3.82;11.7;57.65
3.68;0.01;15.15;5.21;5.69;17.88;52.39
3.66;0.01;15.25;5.17;5.68;17.86;52.37
3.83;0.01;14.94;5.08;5.01;19.7;51.45
3.67;0.01;15.41;5.02;5.19;16.28;54.43
5.73;0.06;12.61;0.11;30.02;0.04;51.43
5.43;0.03;11.34;0.12;35.9;0.02;47.15
7.14;0.03;12.6;0.1;36.74;0.04;43.35
4.21;0.23;17.54;7.02;69.71;0.07;1.22
6.48;0.04;11.26;0.16;30.78;0.05;51.23
2.5;1.08;16.98;6.75;71.96;0.07;0.65
6.54;0.03;11.95;0.11;28.81;0.05;52.5
7.89;0.03;13.43;0.11;34.17;0.04;44.34
7.18;0.03;11.8;0.12;35.87;0.03;44.96
4.36;0.29;11.55;4.84;77.95;0.08;0.92
4.64;0.01;12.96;0.16;25.81;0.07;56.35
5.05;0.26;19.65;5.62;68.51;0.08;0.83
5.12;0.05;10.1;0.13;27.5;0.05;57.06
5.33;0.07;5.94;0.16;27.24;0.02;61.24
5.25;0.04;5.17;0.19;23.09;0.03;66.24
5.17;0.03;5.07;0.21;22.04;0.02;67.47
9.31;0.04;7.25;0.13;24.23;0.09;58.95
3.46;0.01;16.86;5.11;4.74;9.76;60.07
5.92;0.02;7.7;0.12;23.06;0.08;63.09
6.46;0.02;9.91;0.11;31.57;0.07;51.85
6.93;0.03;10.88;0.1;31.12;0.13;50.82
6.12;0.02;10.4;0.1;33.21;0.1;50.05
