angry;disgust;scared;happy;sad;surprised;neutral
14.97;0.04;5.07;33.78;10.43;0.69;35.02
13.51;0.06;5.89;37.26;6.95;0.59;35.74
9.4;0.02;7.13;16.26;12.48;0.51;54.2
17.39;0.04;3.92;35.84;11.24;0.46;31.11
18.21;0.04;4.14;38.31;15.12;0.25;23.93
19.01;0.11;6.13;23.85;13.92;0.33;36.66
15.91;0.17;2.52;44.9;9.93;0.23;26.35
14.23;0.06;5.43;44.5;9.04;0.36;26.37
20.6;0.1;5.53;22.75;13.76;0.2;37.06
12.84;0.11;3.27;46.59;11.15;0.19;25.85
13.74;0.05;9.12;37.68;10.47;0.52;28.42
17.02;0.05;3.13;40.4;9.75;0.25;29.4
13.3;0.34;5.55;38.66;11.5;0.41;30.24
14.83;0.16;4.34;50.81;8.98;0.3;20.59
5.29;0.08;3.56;72.79;6.06;0.12;12.11
12.3;0.08;4.71;45.9;7.32;0.47;29.22
12.34;0.04;5.22;48.75;6.6;0.3;26.75
15.9;0.14;5.69;54.34;8.53;0.44;14.96
7.09;0.08;2.58;72.27;4.42;0.3;13.26
14.38;0.1;4.41;56.54;6.79;0.5;17.29
20.08;0.04;7.67;16.78;10.44;0.33;44.66
17.27;0.03;4.9;13.67;10.16;0.35;53.62
14.12;0.03;5.44;37.32;6.87;0.47;35.74
10.5;0.03;4.4;47.22;6.73;0.53;30.59
25.8;0.1;5.25;31.02;7.62;0.51;29.71
17.91;0.06;6.36;34.69;10.8;0.63;29.55
16.47;0.05;5.48;31.03;11.45;0.23;35.29
21.65;0.09;8.04;24.17;7.71;0.39;37.95
15.98;0.12;6.18;24.98;9.8;0.38;42.56
26.61;0.11;7.54;16.71;8.2;0.32;40.51
10.64;0.15;2.98;54.7;7.74;0.28;23.51
11.51;0.02;8.2;36.45;11.72;0.48;31.61
11.89;0.04;4.87;46.64;8.93;0.39;27.24
19.76;0.16;4.81;41.17;8.85;0.28;24.98
5.1;0.07;3.21;78.38;4.45;0.24;8.55
2.46;0.05;2.65;75.38;4.31;0.32;14.82
7.83;0.13;5.49;56.02;8.62;0.76;21.15
4.83;0.09;5.65;68.44;5.56;0.51;14.92
14.23;0.11;6.58;44.38;10.08;0.69;23.93
4.88;0.18;4.27;70.9;7.68;0.3;11.8
12.4;0.44;3.34;59.79;10.7;0.15;13.18
24.27;0.2;3.62;31.96;12.4;0.11;27.45
11.47;0.07;1.84;66.26;7.62;0.11;12.63
24.07;0.05;8.03;26.41;9.26;0.34;31.83
19.85;0.02;4.45;39.81;11.72;0.24;23.91
10.51;0.05;5.16;54.28;8.26;0.36;21.38
11.25;0.05;6.45;48.23;8.41;0.46;25.15
20.87;0.04;7.37;19.17;12.63;0.27;39.65
17.71;0.04;10.59;24.18;10.85;0.59;36.04
