angry;disgust;scared;happy;sad;surprised;neutral
19.81;0.31;18.7;18.46;11.76;2.05;28.91
21.54;0.32;19.04;11.62;10.5;2.44;34.54
21.89;0.34;17.97;14.47;11.1;2.42;31.81
16.41;0.57;17.65;11.91;10.19;3.22;40.04
21.17;0.37;20.59;14.35;11.82;2.64;29.06
16.82;0.28;17.36;7.81;11.25;3.64;42.85
18.01;0.29;16.35;10.69;12.04;2.92;39.71
21.34;0.44;19.43;12.6;8.78;4.14;33.27
25.26;0.23;16.87;13.0;9.62;2.42;32.58
24.13;0.21;16.52;10.06;11.61;3.07;34.41
16.23;0.28;18.45;12.92;10.98;3.36;37.78
23.03;0.22;19.2;15.47;9.07;2.39;30.62
22.18;0.23;19.38;11.59;11.04;2.72;32.86
22.17;0.1;23.55;10.94;10.77;3.52;28.95
28.82;0.2;17.49;9.56;9.66;2.66;31.6
24.19;0.23;20.35;10.11;10.47;3.87;30.78
24.33;0.12;22.58;10.97;7.26;4.65;30.1
32.36;0.37;21.41;7.01;4.64;6.41;27.79
25.61;0.19;19.59;9.94;6.23;5.22;33.22
19.74;0.16;23.74;9.75;7.84;5.3;33.47
22.82;0.22;21.41;14.51;5.64;6.13;29.27
23.46;0.28;21.08;9.77;6.98;6.12;32.31
19.83;0.39;24.16;13.0;5.9;6.2;30.51
18.15;0.27;24.26;14.8;3.27;7.31;31.93
14.69;0.11;25.81;11.39;3.34;10.91;33.73
25.98;0.51;26.07;7.93;5.5;5.85;28.14
24.12;0.31;21.43;9.41;4.29;8.27;32.17
16.46;0.19;28.2;10.71;6.74;6.89;30.81
20.64;0.16;21.27;16.85;5.64;5.77;29.67
14.06;0.26;26.75;13.81;3.61;12.75;28.76
18.93;0.38;21.92;13.18;3.64;9.26;32.69
21.57;0.38;22.05;13.45;8.52;3.21;30.82
25.27;0.3;25.38;13.11;7.9;2.52;25.53
25.64;0.36;27.02;12.96;9.01;2.22;22.79
23.36;0.35;21.47;18.72;8.92;1.99;25.18
17.33;0.2;21.09;22.3;9.55;2.04;27.49
22.31;0.58;22.98;14.52;8.79;2.99;27.85
24.93;0.32;20.32;17.26;6.53;2.12;28.53
26.04;0.28;22.64;15.96;9.32;2.06;23.71
25.85;0.18;19.96;15.7;10.02;2.25;26.05
24.72;0.27;23.55;18.28;7.53;1.98;23.68
24.27;0.22;25.16;12.13;10.35;2.73;25.14
29.8;0.31;22.72;11.29;8.9;1.84;25.15
31.33;0.42;28.0;10.66;9.55;1.9;18.13
28.58;0.34;22.39;10.67;10.28;2.09;25.65
26.98;0.37;22.46;13.99;9.07;2.27;24.86
29.44;0.42;24.98;12.31;10.53;2.5;19.81
26.78;0.75;18.81;12.29;10.38;3.13;27.86
33.23;0.29;21.97;13.31;9.74;1.65;19.82
30.51;0.26;23.43;14.55;8.96;1.49;20.81
35.91;0.32;19.89;15.04;9.0;1.67;18.18
3.83;0.01;2.41;57.81;4.26;2.81;28.87
28.81;0.45;20.06;11.2;8.97;1.8;28.71
33.19;0.34;21.74;10.86;12.81;1.79;19.26
37.32;0.37;23.98;9.71;8.98;1.77;17.87
32.51;0.55;22.41;11.4;10.65;1.75;20.74
34.59;0.62;23.44;12.36;10.18;1.41;17.4
31.6;0.76;23.26;7.66;11.84;1.93;22.95
31.96;0.77;25.08;8.86;12.54;1.81;18.99
27.72;0.74;26.7;9.03;14.27;2.11;19.44
30.49;0.43;25.3;13.9;12.46;1.44;15.97
26.15;0.53;24.42;13.92;11.57;1.72;21.69
32.32;0.52;23.78;13.62;10.25;1.72;17.79
31.48;0.69;25.19;9.41;11.86;1.62;19.76
29.71;0.6;19.79;14.08;6.79;2.77;26.26
28.75;0.11;22.83;13.19;9.35;2.29;23.47
26.68;0.4;22.69;8.14;9.04;2.06;30.99
28.09;0.37;23.95;8.26;8.74;1.97;28.62
19.98;0.33;21.83;14.92;7.51;4.57;30.86
26.98;0.36;24.64;9.14;8.09;3.55;27.25
22.99;0.37;20.7;11.62;10.06;2.54;31.71
30.09;0.81;17.94;17.33;13.62;1.13;19.07
31.06;0.36;22.25;13.72;13.33;1.33;17.95
26.75;0.57;18.49;18.44;10.44;1.72;23.6
34.11;0.17;22.96;10.66;8.44;2.2;21.45
32.2;0.77;18.72;13.71;12.97;1.18;20.45
28.98;1.24;16.31;18.13;10.54;1.6;23.19
37.54;0.76;20.25;14.11;10.11;1.33;15.89
26.6;0.65;20.53;16.05;8.27;2.7;25.2
28.15;0.57;19.35;16.1;8.66;2.66;24.5
29.93;0.93;17.56;23.47;8.3;2.16;17.64
33.71;0.61;21.38;13.03;14.84;0.83;15.6
38.28;1.03;16.77;15.59;9.9;1.31;17.11
35.05;0.67;19.77;16.86;6.94;1.55;19.14
26.89;0.42;21.75;8.56;7.72;2.62;32.04
26.2;0.57;21.53;11.89;8.34;2.87;28.6
33.88;0.59;18.33;16.32;7.65;1.95;21.28
28.22;0.61;17.28;15.27;6.55;2.66;29.41
33.04;0.65;21.37;15.57;6.29;3.07;20.0
27.94;0.5;17.77;18.86;8.32;2.54;24.07
31.45;0.74;20.49;13.63;8.35;2.11;23.22
28.0;0.78;21.55;11.88;10.25;2.23;25.32
36.2;0.73;18.62;19.01;8.09;1.34;15.99
33.38;0.57;26.49;10.61;11.25;1.28;16.42
32.31;0.59;20.55;16.89;9.23;1.51;18.93
26.86;0.5;23.15;12.15;10.74;1.96;24.63
31.23;0.68;20.5;12.92;9.13;2.52;23.02
28.92;0.78;25.69;11.96;10.27;1.72;20.66
26.51;0.68;24.69;17.29;9.98;1.55;19.29
24.41;0.4;20.51;22.77;7.67;2.88;21.35
24.5;0.36;21.35;20.31;9.42;1.85;22.22
23.93;0.46;18.44;25.27;6.42;3.63;21.85
28.68;0.53;16.4;21.71;6.52;2.37;23.78
22.42;0.52;17.64;23.38;6.51;4.33;25.2
27.59;0.38;19.54;22.41;6.8;2.19;21.08
21.54;0.29;17.56;25.01;6.65;2.9;26.05
25.5;0.47;16.71;23.86;6.33;2.61;24.52
26.39;0.39;17.15;22.83;7.34;2.19;23.72
20.47;0.27;16.19;25.78;9.07;1.97;26.25
31.08;0.3;19.36;13.96;9.82;1.78;23.7
29.97;0.44;18.06;22.33;6.45;1.91;20.85
15.0;0.24;16.93;33.08;5.57;3.14;26.05
22.0;0.37;22.54;17.43;8.67;2.3;26.69
25.79;0.5;17.79;21.47;6.44;2.8;25.2
24.87;0.5;16.28;26.53;6.04;2.78;23.0
28.43;0.58;17.56;22.71;6.1;3.03;21.6
20.84;0.5;16.29;33.22;5.36;2.62;21.16
28.02;0.93;20.28;13.53;8.98;2.02;26.23
24.75;0.41;17.88;19.47;10.28;1.81;25.41
19.25;0.48;19.35;24.74;5.19;5.27;25.72
20.49;0.38;19.23;23.29;7.41;2.76;26.43
23.72;0.19;18.58;27.8;5.09;3.63;20.99
24.76;0.48;19.88;17.66;8.86;2.29;26.08
26.87;0.47;19.53;20.46;8.55;2.26;21.87
24.05;0.58;19.45;24.67;5.16;3.2;22.89
20.97;0.37;21.36;20.65;4.68;3.56;28.41
24.94;0.41;17.0;24.46;5.57;3.23;24.38
18.35;0.18;18.51;28.07;5.11;3.01;26.76
18.3;0.19;16.16;33.55;4.58;4.6;22.62
11.41;0.15;15.5;30.0;4.58;6.26;32.09
18.85;0.24;19.44;28.26;4.81;3.22;25.18
14.48;0.21;17.44;31.64;3.64;4.44;28.14
16.19;0.29;19.49;31.94;4.63;4.78;22.67
15.9;0.2;16.34;37.74;3.62;4.46;21.74
16.05;0.15;15.87;29.17;5.21;4.19;29.36
19.65;0.19;20.43;27.69;7.73;1.93;22.38
21.88;0.24;21.81;25.56;8.56;1.88;20.06
20.85;0.26;22.13;27.24;9.31;1.36;18.86
22.88;0.27;20.4;28.35;5.52;2.49;20.09
29.23;0.17;20.85;20.15;8.47;2.06;19.06
17.68;0.29;17.78;30.16;4.28;4.94;24.87
20.4;0.27;19.82;30.2;7.82;1.59;19.91
20.76;0.17;19.58;28.57;6.87;2.46;21.6
19.9;0.14;17.21;28.11;4.77;3.46;26.42
22.36;0.19;19.36;30.63;4.72;2.71;20.04
20.31;0.29;19.35;26.22;4.24;4.11;25.49
15.84;0.19;19.8;29.37;5.76;3.21;25.83
4.4;0.01;2.73;52.52;3.22;6.03;31.1
21.51;0.19;22.06;24.71;4.99;2.68;23.87
17.51;0.11;18.85;22.33;5.42;3.83;31.95
19.27;0.24;20.43;23.5;6.17;4.01;26.38
18.99;0.27;16.28;29.96;5.24;3.29;25.97
16.62;0.11;16.34;31.02;8.48;1.96;25.49
6.0;0.0;14.14;4.51;3.02;14.12;58.2
16.56;0.21;22.5;27.54;6.91;2.64;23.63
24.48;0.14;22.23;29.31;6.09;2.03;15.71
16.54;0.15;18.95;26.88;6.26;3.24;27.97
18.27;0.13;19.57;27.17;6.44;3.09;25.32
18.77;0.18;19.33;29.32;5.34;3.65;23.41
22.9;0.17;21.38;24.68;6.28;2.28;22.32
24.83;0.22;21.47;27.42;7.36;1.84;16.86
23.09;0.2;16.1;33.7;6.76;1.91;18.24
20.74;0.18;18.41;32.76;5.2;3.19;19.52
30.55;0.12;20.28;17.39;5.47;2.16;24.03
22.63;0.21;16.5;32.59;5.74;1.54;20.79
23.13;0.22;19.02;30.95;3.88;2.73;20.07
20.15;0.11;15.94;35.0;4.99;2.07;21.73
22.61;0.19;18.35;31.02;3.98;2.63;21.22
27.16;0.13;15.92;30.15;4.88;1.99;19.76
30.66;0.23;18.51;24.16;6.75;1.84;17.86
16.74;0.19;18.62;29.07;4.78;3.7;26.9
15.31;0.26;19.47;29.83;3.99;4.06;27.07
18.35;0.12;19.49;33.07;5.75;2.16;21.06
22.46;0.17;18.52;28.72;4.42;2.31;23.39
21.69;0.14;19.11;29.16;4.7;2.81;22.39
19.89;0.12;18.04;33.27;4.82;2.7;21.15
12.91;0.14;17.72;39.69;3.85;3.46;22.22
15.3;0.11;16.95;25.77;4.29;5.32;32.25
17.19;0.14;19.77;35.14;6.37;1.97;19.41
15.66;0.09;18.87;32.18;7.15;1.58;24.47
17.85;0.07;14.34;35.92;6.1;1.48;24.25
22.48;0.23;18.13;29.94;6.94;1.8;20.47
19.66;0.21;15.52;33.63;5.27;2.07;23.65
21.59;0.2;18.07;30.98;4.75;2.38;22.03
21.33;0.11;21.16;22.89;8.5;2.34;23.67
15.69;0.12;16.99;29.88;6.11;3.13;28.1
16.58;0.18;15.17;35.36;6.02;2.68;24.01
20.31;0.18;20.07;28.7;6.11;2.57;22.06
16.18;0.13;15.39;30.93;6.06;2.91;28.4
15.64;0.03;18.53;28.12;4.13;4.63;28.92
11.84;0.06;17.31;25.4;3.49;2.88;39.02
15.92;0.18;14.73;37.46;5.35;2.39;23.96
18.43;0.19;18.63;33.94;5.39;2.27;21.15
16.92;0.18;20.69;25.36;5.6;4.39;26.85
16.12;0.13;21.89;32.31;6.1;2.75;20.7
11.58;0.1;19.16;23.04;5.62;5.81;34.69
17.22;0.09;18.66;23.76;6.27;3.16;30.84
18.29;0.32;24.45;25.63;6.19;3.08;22.04
22.46;0.2;20.2;27.6;6.63;2.53;20.37
20.06;0.19;20.17;31.44;6.87;1.61;19.66
22.75;0.27;22.63;22.96;5.99;2.81;22.59
15.51;0.19;17.74;32.07;4.85;4.64;25.0
15.96;0.12;17.85;25.09;5.06;5.17;30.74
14.66;0.08;18.47;23.4;5.14;5.76;32.49
16.09;0.11;16.92;34.09;4.84;4.35;23.6
15.64;0.19;14.49;35.95;4.34;3.36;26.03
17.03;0.16;17.63;33.85;4.81;3.88;22.65
16.39;0.11;18.72;34.52;6.6;1.98;21.68
18.7;0.26;20.33;33.64;7.1;1.41;18.56
19.0;0.11;20.36;28.36;7.2;2.6;22.36
27.67;0.17;16.97;28.2;4.65;2.18;20.15
16.15;0.15;16.92;30.25;5.24;4.23;27.05
14.59;0.15;15.36;34.57;4.99;4.34;26.01
17.28;0.12;15.06;34.91;4.92;3.81;23.9
15.49;0.14;17.89;29.58;4.9;4.58;27.42
24.55;0.17;18.97;25.28;4.61;3.8;22.62
19.69;0.15;16.92;28.48;4.96;4.11;25.69
17.09;0.04;18.14;29.81;4.44;4.26;26.21
16.4;0.04;20.75;25.72;4.5;4.17;28.42
12.76;0.11;20.2;25.01;4.09;6.37;31.46
17.53;0.06;20.07;18.06;5.17;4.39;34.71
20.52;0.1;19.14;24.91;4.49;3.28;27.56
21.13;0.17;16.09;30.13;5.24;3.83;23.41
17.06;0.25;21.33;25.1;4.87;4.76;26.63
15.17;0.15;18.48;26.6;3.71;2.57;33.31
15.81;0.12;19.8;29.81;6.36;1.99;26.1
23.43;0.21;17.62;26.48;5.13;3.01;24.12
21.23;0.16;17.69;30.26;4.76;2.66;23.25
17.55;0.13;15.99;26.08;5.31;3.31;31.62
23.72;0.35;24.32;18.0;6.48;3.21;23.93
16.24;0.16;14.73;30.2;5.45;3.56;29.65
20.47;0.16;21.05;20.88;5.26;5.68;26.49
13.79;0.08;20.19;19.97;4.59;3.7;37.69
14.27;0.06;21.85;25.32;3.98;3.49;31.02
18.05;0.22;19.63;23.43;4.8;5.88;28.0
14.27;0.16;16.88;29.29;4.8;6.16;28.43
10.51;0.11;14.8;30.75;4.32;7.55;31.96
