angry;disgust;scared;happy;sad;surprised;neutral
0.36;0.0;1.15;25.3;5.67;0.3;67.21
1.03;0.0;1.45;22.54;5.41;0.53;69.04
0.69;0.0;1.06;20.23;3.86;0.53;73.63
0.8;0.0;1.02;28.49;3.6;0.69;65.4
1.24;0.0;1.47;23.76;4.75;0.79;67.99
0.92;0.0;0.97;29.32;3.66;0.56;64.57
0.79;0.0;0.93;23.97;3.57;0.59;70.14
0.94;0.0;1.05;21.83;4.19;0.65;71.34
0.59;0.0;1.15;19.26;4.34;0.54;74.13
0.73;0.0;1.25;21.85;4.36;0.81;71.01
0.9;0.0;1.6;15.8;5.27;0.89;75.55
0.96;0.0;1.23;19.77;4.5;0.82;72.72
0.64;0.0;1.14;20.95;4.04;0.59;72.63
0.49;0.0;1.06;20.3;3.89;0.38;73.89
1.14;0.0;1.93;18.99;5.82;0.51;71.61
0.58;0.0;1.29;20.25;4.52;0.45;72.91
0.6;0.0;1.57;25.62;4.84;0.53;66.84
0.81;0.0;1.83;16.04;9.04;0.45;71.83
0.83;0.0;2.07;25.14;4.77;0.86;66.33
0.7;0.0;1.54;15.09;8.01;0.47;74.19
0.55;0.0;1.61;23.43;5.06;0.56;68.79
0.56;0.0;1.44;29.47;3.98;0.65;63.9
0.75;0.0;1.82;17.33;7.86;0.49;71.75
0.42;0.0;1.43;20.35;4.24;0.46;73.1
0.64;0.01;2.04;20.18;5.23;0.63;71.27
0.7;0.0;1.68;13.88;5.26;0.73;77.75
0.69;0.01;1.65;17.77;4.84;0.48;74.57
0.98;0.01;1.55;15.71;5.34;0.41;75.99
1.6;0.01;1.93;21.03;7.43;0.42;67.57
1.12;0.01;1.65;11.39;6.94;0.55;78.35
1.19;0.0;1.87;7.47;9.68;0.67;79.11
1.71;0.02;2.42;7.64;9.87;0.83;77.51
1.23;0.03;2.29;8.07;7.39;0.91;80.08
1.06;0.01;2.43;6.67;7.52;0.48;81.83
2.85;0.03;2.43;4.44;13.01;0.55;76.7
2.34;0.02;3.0;6.05;12.49;0.55;75.54
1.96;0.01;2.3;4.52;10.58;0.93;79.69
1.42;0.0;1.65;3.48;7.62;0.8;85.02
2.82;0.01;2.37;3.61;11.57;0.7;78.93
2.49;0.01;2.21;4.52;11.74;0.64;78.39
2.03;0.0;3.01;4.58;11.82;0.72;77.84
2.08;0.02;3.11;6.8;11.38;1.4;75.21
1.93;0.0;2.85;3.89;10.47;0.65;80.22
2.45;0.01;2.26;2.43;11.89;1.03;79.93
3.71;0.01;3.23;2.07;11.63;0.87;78.49
3.04;0.01;3.57;1.44;12.81;0.72;78.4
2.27;0.0;3.87;1.04;9.61;0.28;82.93
2.93;0.02;2.73;1.48;9.98;0.48;82.37
