frameID,mediaTime,attention,dominantEmotion,emotion_Angry,emotion_Disgust,emotion_Fear,emotion_Happy,emotion_Neutral,emotion_Sad,emotion_Surprise,arousal,valence,affects38_Afraid,affects38_Amused,affects38_Angry,affects38_Annoyed,affects38_Anxious,affects38_Apathetic,affects38_Astonished,affects38_Bored,affects38_Calm,affects38_Conceited,affects38_Contemplative,affects38_Content,affects38_Convinced,affects38_Delighted,affects38_Depressed,affects38_Determined,affects38_Disappointed,affects38_Discontented,affects38_Distressed,affects38_Embarrassed,affects38_Enraged,affects38_Excited,affects38_Feel Well,affects38_Frustrated,affects38_Happy,affects38_Hopeful,affects38_Impressed,affects38_Melancholic,affects38_Peaceful,affects38_Pensive,affects38_Pleased,affects38_Relaxed,affects38_Sad,affects38_Satisfied,affects38_Sleepy,affects38_Tired,affects38_Uncomfortable,affects38_Worried,affects98_Adventurous,affects98_Afraid,affects98_Alarmed,affects98_Ambitious,affects98_Amorous,affects98_Amused,affects98_Angry,affects98_Annoyed,affects98_Anxious,affects98_Apathetic,affects98_Aroused,affects98_Ashamed,affects98_Astonished,affects98_At Ease,affects98_Attentive,affects98_Bellicose,affects98_Bitter,affects98_Bored,affects98_Calm,affects98_Compassionate,affects98_Conceited,affects98_Confident,affects98_Conscientious,affects98_Contemplative,affects98_Contemptuous,affects98_Content,affects98_Convinced,affects98_Courageous,affects98_Defient,affects98_Dejected,affects98_Delighted,affects98_Depressed,affects98_Desperate,affects98_Despondent,affects98_Determined,affects98_Disappointed,affects98_Discontented,affects98_Disgusted,affects98_Dissatisfied,affects98_Distressed,affects98_Distrustful,affects98_Doubtful,affects98_Droopy,affects98_Embarrassed,affects98_Enraged,affects98_Enthusiastic,affects98_Envious,affects98_Excited,affects98_Expectant,affects98_Feel Guilt,affects98_Feel Well,affects98_Feeling Superior,affects98_Friendly,affects98_Frustrated,affects98_Glad,affects98_Gloomy,affects98_Happy,affects98_Hateful,affects98_Hesitant,affects98_Hopeful,affects98_Hostile,affects98_Impatient,affects98_Impressed,affects98_Indignant,affects98_Insulted,affects98_Interested,affects98_Jealous,affects98_Joyous,affects98_Languid,affects98_Light Hearted,affects98_Loathing,affects98_Longing,affects98_Lusting,affects98_Melancholic,affects98_Miserable,affects98_Passionate,affects98_Peaceful,affects98_Pensive,affects98_Pleased,affects98_Polite,affects98_Relaxed,affects98_Reverent,affects98_Sad,affects98_Satisfied,affects98_Selfconfident,affects98_Serene,affects98_Serious,affects98_Sleepy,affects98_Solemn,affects98_Startled,affects98_Suspicious,affects98_Taken Aback,affects98_Tense,affects98_Tired,affects98_Triumphant,affects98_Uncomfortable,affects98_Wavering,affects98_Worried,quadrant,positivity
144,6.287,0.34,Angry,0.4,0.03,0.04,0.06,0.2,0.12,0.14,-0.45,-0.27,0,0,0,0,0.66,0.89,0,0.88,0,0,0.24,0,0,0,0.71,0,0.54,0.23,0,0.98,0,0,0,0.18,0,0.19,0.42,0.9,0.22,0.89,0,0,0.69,0,0.63,0.65,0.83,0.95,0,0,0,0,0,0,0,0,0.66,0.89,0,0.97,0,0,0.44,0,0.21,0.88,0,0.36,0,0.33,0.54,0.24,0,0,0,0,0,0.77,0,0.71,0.71,0.91,0,0.54,0.23,0,0.81,0,0.66,0.74,0.78,0.98,0,0,0,0,0.39,0.98,0,0,0,0.18,0,0.64,0,0,0.92,0.19,0,0.4,0.42,0.17,0.35,0,0,0,1,0,0,0.76,0,0.9,0.46,0.32,0.22,0.89,0,0.55,0,0.5,0.69,0,0,0,0.72,0.63,0,0.34,0.49,0.93,0,0.65,0,0.83,0.85,0.95,Low Control,0.13
145,6.32,0.67,Angry,0.36,0.01,0.02,0.05,0.24,0.22,0.09,-0.34,-0.28,0,0.01,0,0,0.59,0.95,0,0.8,0,0,0.17,0,0,0,0.71,0,0.64,0.4,0.01,0.94,0,0,0,0.36,0,0.18,0.47,0.84,0.1,0.84,0,0,0.71,0,0.49,0.51,0.85,0.96,0,0,0,0,0,0.01,0,0,0.59,0.95,0,0.95,0,0,0.4,0,0.37,0.8,0,0.22,0,0.35,0.43,0.17,0,0,0,0,0,0.68,0,0.71,0.71,0.91,0,0.64,0.4,0.16,0.87,0.01,0.77,0.62,0.66,0.94,0,0,0,0,0.47,0.98,0,0,0,0.36,0,0.64,0,0,0.85,0.18,0,0.54,0.47,0.36,0.5,0,0.15,0,0.97,0.11,0.14,0.74,0,0.84,0.54,0.41,0.1,0.84,0,0.47,0,0.36,0.71,0,0,0,0.64,0.49,0,0.46,0.64,0.97,0,0.51,0,0.85,0.8,0.96,Low Control,0.14
146,6.367,0.34,,0.3,0.02,0.03,0.06,0.25,0.23,0.11,-0.45,-0.28,0,0,0,0,0.68,0.89,0,0.88,0,0,0.22,0,0,0,0.72,0,0.56,0.24,0,0.98,0,0,0,0.19,0,0.16,0.4,0.9,0.19,0.88,0,0,0.71,0,0.62,0.64,0.84,0.94,0,0,0,0,0,0,0,0,0.68,0.89,0,0.97,0,0,0.42,0,0.23,0.88,0,0.34,0,0.31,0.52,0.22,0,0,0,0,0,0.78,0,0.72,0.73,0.92,0,0.56,0.24,0,0.82,0,0.66,0.74,0.78,0.98,0,0,0,0,0.38,0.99,0,0,0,0.19,0,0.66,0,0,0.92,0.16,0,0.39,0.4,0.17,0.37,0,0,0,0.99,0,0,0.75,0,0.9,0.48,0.3,0.19,0.88,0,0.53,0,0.49,0.71,0,0,0,0.7,0.62,0,0.36,0.49,0.94,0,0.64,0,0.84,0.86,0.94,Low Control,0.11
147,6.4,0.38,Angry,0.39,0.02,0.03,0.05,0.16,0.23,0.12,-0.44,-0.27,0,0,0,0,0.66,0.9,0,0.87,0,0,0.23,0,0,0,0.71,0,0.56,0.25,0,0.97,0,0,0,0.21,0,0.18,0.42,0.9,0.2,0.89,0,0,0.7,0,0.61,0.63,0.84,0.95,0,0,0,0,0,0,0,0,0.66,0.9,0,0.97,0,0,0.43,0,0.23,0.87,0,0.34,0,0.33,0.52,0.23,0,0,0,0,0,0.77,0,0.71,0.72,0.91,0,0.56,0.25,0,0.82,0,0.67,0.73,0.77,0.97,0,0,0,0,0.4,0.98,0,0,0,0.21,0,0.64,0,0,0.91,0.18,0,0.42,0.42,0.19,0.37,0,0,0,0.99,0,0,0.76,0,0.9,0.47,0.33,0.2,0.89,0,0.54,0,0.49,0.7,0,0,0,0.71,0.61,0,0.36,0.51,0.94,0,0.63,0,0.84,0.85,0.95,Low Control,0.13
148,6.448,0,Angry,0.35,0.04,0.04,0.06,0.16,0.2,0.16,-0.55,-0.26,0,0,0,0,0.72,0.82,0,0.93,0,0,0.27,0,0,0,0.69,0,0.44,0.06,0,0.99,0,0,0,0.01,0,0.16,0.35,0.94,0.28,0.91,0,0.04,0.67,0,0.72,0.75,0.8,0.92,0,0,0,0,0,0,0,0,0.72,0.82,0,0.97,0,0,0.44,0,0.06,0.93,0,0.45,0,0.29,0.6,0.27,0,0,0,0,0,0.84,0,0.69,0.71,0.89,0,0.44,0.06,0,0.74,0,0.54,0.83,0.86,0.99,0,0,0,0,0.29,0.97,0,0,0,0.01,0,0.62,0,0,0.96,0.16,0,0.25,0.35,0,0.21,0,0,0,1,0,0,0.75,0,0.94,0.38,0.2,0.28,0.91,0,0.59,0.04,0.6,0.67,0,0,0,0.76,0.72,0,0.23,0.35,0.88,0,0.75,0,0.8,0.88,0.92,Low Control,0.11
149,6.48,0.52,Angry,0.4,0.02,0.02,0.05,0.29,0.18,0.05,-0.4,-0.29,0,0,0,0,0.64,0.92,0,0.84,0,0,0.19,0,0,0,0.72,0,0.6,0.33,0,0.96,0,0,0,0.29,0,0.17,0.43,0.87,0.14,0.86,0,0,0.72,0,0.55,0.57,0.85,0.95,0,0,0,0,0,0,0,0,0.64,0.92,0,0.97,0,0,0.41,0,0.31,0.84,0,0.28,0,0.32,0.47,0.19,0,0,0,0,0,0.73,0,0.72,0.73,0.92,0,0.6,0.33,0.07,0.85,0,0.72,0.68,0.72,0.96,0,0,0,0,0.42,0.99,0,0,0,0.29,0,0.66,0,0,0.89,0.17,0,0.47,0.43,0.27,0.44,0,0.04,0,0.99,0.03,0.06,0.74,0,0.87,0.52,0.35,0.14,0.86,0,0.5,0,0.42,0.72,0,0,0,0.67,0.55,0,0.42,0.57,0.96,0,0.57,0,0.85,0.83,0.95,Low Control,0.12
150,6.528,0.38,Angry,0.31,0.02,0.04,0.08,0.18,0.22,0.15,-0.44,-0.24,0,0,0,0,0.63,0.9,0,0.87,0,0,0.29,0,0,0,0.67,0,0.52,0.22,0,0.97,0,0,0,0.18,0,0.25,0.47,0.91,0.26,0.91,0,0.05,0.66,0,0.63,0.65,0.81,0.96,0,0,0,0,0,0,0,0,0.63,0.9,0,0.96,0,0,0.49,0,0.2,0.87,0,0.39,0,0.38,0.57,0.29,0,0,0,0,0,0.75,0,0.67,0.68,0.89,0,0.52,0.22,0,0.8,0,0.66,0.73,0.76,0.97,0,0,0,0,0.44,0.97,0,0,0,0.18,0,0.6,0,0,0.91,0.25,0,0.43,0.47,0.19,0.34,0,0,0,1,0.04,0,0.79,0,0.91,0.42,0.37,0.26,0.91,0,0.58,0.05,0.52,0.66,0,0,0,0.74,0.63,0,0.31,0.51,0.93,0,0.65,0,0.81,0.83,0.96,Low Control,0.16
151,6.56,0.39,Angry,0.36,0.03,0.03,0.13,0.18,0.18,0.1,-0.44,-0.26,0,0,0,0,0.65,0.9,0,0.87,0,0,0.25,0,0,0,0.7,0,0.54,0.24,0,0.97,0,0,0,0.2,0,0.21,0.44,0.9,0.22,0.89,0,0.01,0.69,0,0.62,0.64,0.83,0.96,0,0,0,0,0,0,0,0,0.65,0.9,0,0.96,0,0,0.45,0,0.22,0.87,0,0.36,0,0.35,0.54,0.25,0,0,0,0,0,0.76,0,0.7,0.7,0.9,0,0.54,0.24,0,0.81,0,0.67,0.73,0.76,0.97,0,0,0,0,0.42,0.98,0,0,0,0.2,0,0.63,0,0,0.91,0.21,0,0.42,0.44,0.2,0.36,0,0,0,1,0.01,0,0.77,0,0.9,0.46,0.34,0.22,0.89,0,0.55,0.01,0.5,0.69,0,0,0,0.72,0.62,0,0.35,0.51,0.93,0,0.64,0,0.83,0.84,0.96,Low Control,0.14
152,6.608,0,Angry,0.36,0.04,0.05,0.05,0.14,0.21,0.16,-0.57,-0.27,0,0,0,0,0.73,0.8,0,0.95,0,0,0.27,0,0,0,0.69,0,0.42,0.03,0,1,0,0,0,0,0,0.14,0.32,0.94,0.28,0.91,0,0.04,0.66,0,0.74,0.76,0.79,0.91,0,0,0,0,0,0,0,0,0.73,0.8,0,0.97,0,0,0.43,0,0.03,0.95,0,0.46,0,0.26,0.61,0.27,0,0,0,0,0,0.86,0,0.69,0.71,0.89,0,0.42,0.03,0,0.73,0,0.51,0.85,0.87,1,0,0,0,0,0.26,0.96,0,0,0,0,0,0.62,0,0,0.97,0.14,0,0.21,0.32,0,0.18,0,0,0,0.99,0,0,0.74,0,0.94,0.37,0.17,0.28,0.91,0,0.59,0.04,0.61,0.66,0,0,0,0.76,0.74,0,0.21,0.31,0.86,0,0.76,0,0.79,0.89,0.91,Low Control,0.1
153,6.64,0.07,Angry,0.44,0.04,0.06,0.07,0.1,0.2,0.1,-0.52,-0.27,0,0,0,0,0.71,0.84,0,0.92,0,0,0.25,0,0,0,0.71,0,0.48,0.11,0,0.99,0,0,0,0.06,0,0.16,0.36,0.93,0.26,0.9,0,0.02,0.68,0,0.7,0.72,0.81,0.93,0,0,0,0,0,0,0,0,0.71,0.84,0,0.97,0,0,0.43,0,0.1,0.92,0,0.42,0,0.28,0.58,0.25,0,0,0,0,0,0.83,0,0.71,0.72,0.9,0,0.48,0.11,0,0.77,0,0.57,0.81,0.84,0.99,0,0,0,0,0.31,0.97,0,0,0,0.06,0,0.64,0,0,0.96,0.16,0,0.28,0.36,0.03,0.26,0,0,0,1,0,0,0.75,0,0.93,0.41,0.22,0.26,0.9,0,0.57,0.02,0.57,0.68,0,0,0,0.74,0.7,0,0.27,0.38,0.89,0,0.72,0,0.81,0.88,0.93,Low Control,0.11
154,6.688,0.62,Angry,0.36,0.02,0.04,0.07,0.18,0.21,0.12,-0.36,-0.29,0,0,0,0,0.61,0.94,0,0.81,0,0,0.18,0,0,0,0.72,0,0.63,0.38,0,0.95,0,0,0,0.34,0,0.17,0.45,0.85,0.11,0.85,0,0,0.72,0,0.51,0.53,0.85,0.96,0,0,0,0,0,0,0,0,0.61,0.94,0,0.96,0,0,0.4,0,0.35,0.81,0,0.24,0,0.34,0.45,0.18,0,0,0,0,0,0.7,0,0.72,0.72,0.92,0,0.63,0.38,0.13,0.87,0,0.75,0.64,0.69,0.95,0,0,0,0,0.45,0.98,0,0,0,0.34,0,0.65,0,0,0.86,0.17,0,0.51,0.45,0.32,0.48,0,0.11,0,0.98,0.07,0.11,0.74,0,0.85,0.53,0.39,0.11,0.85,0,0.48,0,0.38,0.72,0,0,0,0.65,0.51,0,0.45,0.61,0.97,0,0.53,0,0.85,0.81,0.96,Low Control,0.13
155,6.72,0.75,Angry,0.35,0.02,0.03,0.06,0.24,0.2,0.1,-0.31,-0.28,0,0.04,0,0.03,0.56,0.96,0,0.77,0,0,0.16,0,0,0,0.7,0,0.65,0.44,0.06,0.92,0,0,0,0.41,0,0.18,0.49,0.82,0.08,0.83,0,0,0.7,0,0.45,0.47,0.85,0.96,0,0,0,0,0,0.04,0,0.03,0.56,0.96,0,0.94,0,0,0.4,0,0.4,0.77,0,0.19,0,0.36,0.41,0.16,0,0,0,0,0,0.65,0,0.7,0.7,0.9,0,0.65,0.44,0.21,0.88,0.06,0.79,0.58,0.63,0.92,0,0,0,0,0.5,0.97,0,0,0,0.41,0,0.63,0,0,0.83,0.18,0,0.58,0.49,0.4,0.53,0.01,0.2,0,0.96,0.14,0.18,0.73,0,0.82,0.55,0.44,0.08,0.83,0,0.45,0,0.33,0.7,0,0,0,0.63,0.45,0,0.48,0.67,0.98,0,0.47,0,0.85,0.78,0.96,Low Control,0.15
156,6.8,0.23,,0.29,0.02,0.03,0.14,0.25,0.18,0.09,-0.48,-0.2,0,0,0,0,0.62,0.88,0,0.89,0.04,0,0.36,0,0,0,0.63,0,0.44,0.12,0,0.97,0,0,0,0.08,0,0.29,0.48,0.94,0.34,0.93,0,0.13,0.61,0.03,0.69,0.71,0.77,0.96,0,0,0,0,0,0,0,0,0.62,0.88,0,0.94,0,0.02,0.53,0,0.09,0.89,0.04,0.47,0,0.41,0.63,0.36,0,0,0,0,0,0.76,0,0.63,0.64,0.86,0,0.44,0.12,0,0.75,0,0.59,0.77,0.79,0.97,0,0,0,0,0.43,0.96,0,0,0.06,0.08,0,0.56,0,0,0.93,0.29,0,0.38,0.48,0.11,0.25,0.01,0,0,1,0.02,0,0.82,0,0.94,0.35,0.35,0.34,0.93,0,0.64,0.13,0.59,0.61,0.03,0,0,0.79,0.69,0,0.22,0.44,0.89,0,0.71,0,0.77,0.82,0.96,Low Control,0.18
