angry;disgust;scared;happy;sad;surprised;neutral
10.45;0.28;14.75;0.12;23.23;0.24;50.93
11.41;0.28;16.28;0.14;23.2;0.19;48.5
11.43;0.16;20.62;0.11;23.46;0.2;44.02
8.3;0.31;15.75;0.27;14.86;0.45;60.06
8.72;0.46;12.73;0.12;24.58;0.24;53.15
5.83;0.34;16.63;0.23;24.6;0.42;51.94
7.42;0.59;9.94;0.3;13.21;0.38;68.17
9.53;0.3;14.65;0.13;22.32;0.33;52.74
12.71;0.48;18.58;0.07;30.25;0.22;37.69
8.17;0.17;18.26;0.1;28.42;0.16;44.72
4.83;0.26;16.83;0.18;24.35;0.32;53.24
14.54;0.55;23.37;0.13;26.27;0.23;34.91
12.3;0.31;19.21;0.07;28.56;0.15;39.4
8.23;0.22;12.08;0.07;22.72;0.27;56.41
7.57;0.43;16.39;0.13;19.66;0.39;55.43
7.08;0.19;20.11;0.18;20.39;0.34;51.7
7.42;0.34;22.63;0.14;20.38;0.36;48.74
6.07;0.28;11.44;0.21;17.34;0.19;64.47
8.57;0.24;11.54;0.3;30.92;0.08;48.35
6.33;0.4;10.54;0.24;23.28;0.17;59.03
9.28;0.22;21.57;0.1;25.37;0.29;43.18
5.94;0.22;17.01;0.16;16.07;0.33;60.27
8.09;0.81;22.23;0.19;15.48;0.37;52.84
9.63;0.54;15.13;0.13;14.2;0.29;60.08
6.74;0.44;18.37;0.3;12.63;0.41;61.12
10.16;0.77;14.25;0.13;14.18;0.22;60.29
7.88;0.76;19.4;0.2;15.1;0.36;56.3
8.13;0.42;17.37;0.2;13.38;0.39;60.11
6.92;0.51;13.36;0.21;11.32;0.35;67.33
7.2;0.43;17.11;0.25;12.59;0.45;61.96
6.82;0.34;18.56;0.16;15.02;0.46;58.64
8.5;0.78;14.08;0.21;14.28;0.31;61.85
9.68;0.72;13.43;0.25;11.45;0.6;63.88
9.68;0.76;16.59;0.17;16.42;0.45;55.93
16.25;1.19;8.27;0.98;24.71;0.17;48.43
13.0;0.59;9.8;0.9;42.03;0.13;33.55
6.62;0.21;10.82;0.22;27.15;0.21;54.77
10.48;0.61;20.15;0.19;23.99;0.26;44.32
10.23;0.65;18.33;0.23;20.74;0.37;49.45
6.36;0.48;23.86;0.21;22.38;0.35;46.35
5.6;0.66;21.51;0.2;21.41;0.32;50.32
7.15;0.56;27.16;0.17;20.51;0.42;44.02
7.7;0.66;22.78;0.19;13.52;0.42;54.74
10.09;0.91;24.69;0.13;21.82;0.46;41.9
7.54;0.35;13.26;0.25;18.18;0.25;60.18
8.92;0.52;25.04;0.21;18.33;0.43;46.54
7.0;0.37;14.13;0.16;15.73;0.29;62.32
6.49;0.52;22.8;0.22;17.11;0.5;52.36
8.14;0.44;21.4;0.16;25.43;0.26;44.17
8.82;0.69;19.03;0.22;24.43;0.37;46.44
15.59;1.21;10.27;0.69;31.61;0.12;40.52
12.65;1.77;13.46;2.04;21.08;0.31;48.69
7.96;0.46;16.09;0.14;23.66;0.22;51.47
12.49;0.77;28.89;0.23;23.89;0.44;33.28
6.38;0.3;14.25;0.17;15.36;0.25;63.28
8.38;0.61;22.24;0.21;18.8;0.74;49.0
9.26;1.13;19.53;0.2;19.05;0.74;50.08
10.73;1.53;23.59;0.16;19.71;0.48;43.8
8.37;0.75;19.4;0.17;18.55;0.57;52.18
11.44;0.7;24.4;0.2;18.95;0.43;43.88
10.12;0.59;20.57;0.12;19.86;0.4;48.35
12.73;0.65;20.23;0.21;23.08;0.23;42.86
11.33;1.29;20.2;0.12;20.63;0.21;46.22
